date,인천,동인천,도원,제물포,도화,주안,간석,동암,백운,부평,부개,송내,중동,부천,소사,역곡,온수,오류동,개봉,구일,구로,영등포,신길,대방,노량진,용산,남영,서울역,종각,종로3가,종로5가,동대문,동묘앞,제기동,청량리,회기,외대앞,신이문,석계,광운대,월계,녹천,방학,도봉,도봉산,망월사,회룡,의정부,가능,녹양,양주,덕계,덕정,지행,동두천중앙,보산,동두천,소요산
2020-01-01,7978,21138,3250,10288,4340,23616,6280,20106,8381,51463,9069,26265,8887,49722,11928,28964,7255,14560,23442,5728,18793,69343,8698,12259,13708,61742,8274,66365,36728,32169,24611,18380,15578,19643,27875,26725,9534,8684,10674,8491,6303,4303,10363,5542,9953,8274,11972,26753,6828,4778,8684,2297,6503,8096,4240,2712,2779,5347
2020-01-02,6498,33972,8291,22055,8261,43033,13494,36168,16717,75902,18925,63943,19866,77559,21197,61734,14540,25905,49117,14236,40492,96951,18485,30818,21772,80862,22603,113050,96288,70164,57066,25543,18102,41707,49310,53830,18908,18233,21007,17469,12372,9248,20264,12306,12555,16274,27045,42073,13577,9970,16450,4718,12145,14632,7293,3738,4747,5499
2020-01-03,7004,34745,8711,23233,8751,45886,14299,38005,17434,83239,19563,67595,20899,83620,21842,65239,14871,26278,50921,15045,42122,110680,19434,32018,23711,90190,23429,126788,105141,76937,61651,28019,20016,44280,52770,56670,19974,19130,22305,18811,13221,9612,21459,12870,12982,16470,28436,46673,14428,10493,18202,4914,12666,15844,7696,3453,5323,6192
2020-01-04,8840,29946,5355,16709,6407,37754,10417,31382,13665,78387,14801,47035,15524,75208,19554,48257,11507,20582,40649,28791,32005,113092,13353,21094,22886,86557,14709,95199,68528,68534,52662,28611,26986,40219,49294,45169,15784,13760,17912,14338,9796,6907,16310,9488,14788,12754,22262,45579,11728,8097,14518,3844,10495,13116,6569,3360,4101,7876
2020-01-05,7839,23552,4668,12571,5046,30620,7429,23989,10497,58024,11342,33626,10959,58432,14686,37233,9437,17713,30597,28844,23165,87842,10518,16813,16235,70392,11533,72582,37932,40435,25258,26942,28253,27721,36576,36282,11550,10699,13363,10572,7814,5593,13566,7531,14532,10535,16693,34681,9002,6411,11454,3021,8324,10508,5492,3003,3485,7952
2020-01-06,5640,31945,8111,22914,8402,43492,13468,36366,17158,75017,19255,66012,20610,77656,21743,62927,14862,26324,50039,14665,41981,95441,19457,31593,22123,78764,23672,112615,97809,69711,56194,27934,14823,41646,48062,54865,19853,18909,21390,18775,12336,9735,21043,12744,11508,16362,27700,41412,14230,10170,17167,4842,12382,14817,7348,3155,5037,5073
2020-01-07,4898,30331,7103,21341,7827,41328,13116,34749,16327,70152,18698,64513,19863,73072,20609,60354,14095,25171,48205,13819,40146,92518,18752,31502,20999,75383,22834,109641,97229,64459,56152,25293,12381,35355,43188,52825,18868,18216,19931,17403,11579,9242,19690,12368,10104,15929,25880,38735,13498,9472,15959,4624,11423,13378,6685,2911,4544,3642
2020-01-08,6212,34390,8258,22616,8601,44526,13781,36411,17712,76690,19291,67312,20556,79143,21775,63555,15213,26730,50877,14323,41982,98990,19433,32672,23031,82955,23663,112546,98534,72902,58454,28514,16401,43128,50516,57206,20486,19126,21572,18378,12818,9791,21258,13046,11947,17253,27840,43043,14304,10379,16820,4908,12308,14498,7307,3042,5011,4915
2020-01-09,7011,34487,7876,23046,8311,44470,13981,37037,17420,76839,19331,68563,20894,80709,21752,64642,15321,26896,52190,14680,42487,99746,19846,32807,23762,82622,24368,116560,102674,74754,60869,29411,18773,47257,52520,56545,20113,19323,22046,18465,12836,9891,21450,13577,13137,16713,28430,43251,14379,10533,17636,4988,12487,14937,7371,3110,4715,5933
2020-01-10,7019,35253,8306,23174,8653,46959,13982,38714,18229,84711,19692,69692,21091,86253,22069,66515,15553,26822,52288,14648,43657,114916,19919,33540,25185,95971,24278,131732,106976,78342,62566,30564,19585,47427,55012,58414,20849,19406,22807,18602,12802,9890,21962,13592,13526,17085,29017,47116,15047,10820,18097,5072,13143,15411,8073,3711,5169,6374
2020-01-11,8901,31675,6048,17334,6752,39949,11042,33459,14760,82133,15709,50701,16314,80081,21939,51213,12041,21785,43847,10991,33834,122211,14331,24256,24546,95892,15385,106204,80453,75434,57903,31646,27846,44425,53234,53196,18079,14865,19146,14666,10207,7455,17263,9994,14507,14708,23135,49098,11937,8729,15375,3976,11208,14450,6658,3569,4502,8543
2020-01-12,7658,24227,4455,12603,5111,28846,7723,24594,10877,59852,11840,35124,11102,57136,15312,36047,9848,17550,30908,7392,24904,91863,10933,16355,16823,75151,11877,74386,40349,42506,29234,28253,28196,30333,39457,36994,12748,11312,13886,10754,7646,5638,13184,7981,14374,11896,17114,37405,9101,6343,11802,3078,8668,10679,5343,3150,3515,8239
2020-01-13,6269,32419,8278,21941,8297,44269,13488,36452,17525,76659,19197,66637,20765,80106,22279,63225,14756,27106,50269,14391,42164,97094,19818,32015,22360,81496,23085,115256,98213,71811,58085,28508,17713,46946,52084,55150,19695,18831,21550,18622,12603,9895,21335,13265,12223,16579,28114,42189,14365,10418,17545,4889,12389,14402,7535,3297,4888,5502
2020-01-14,6831,32555,7669,22231,8421,44564,13887,37139,17547,75168,19362,67546,20477,79811,22400,63790,14925,27171,51030,14338,42512,98364,19814,32375,23099,79300,23102,115006,99584,72825,59920,29251,18377,47996,52444,55304,19491,19141,22019,18520,12695,9966,21395,13422,12610,16899,28539,42211,14142,10298,17031,4668,12138,14205,7226,3113,4858,5360
2020-01-15,6739,34510,7880,22429,8719,44722,13713,37018,17658,76671,19429,67148,21081,81102,21791,63957,14865,27330,51327,14602,42539,99940,19938,32545,23445,81599,23279,115667,101654,73449,60646,29045,18333,48501,53247,56402,19748,19106,21968,21533,12712,9970,21553,13759,12643,17635,28637,43051,14187,10290,17254,4890,12687,14063,7584,3096,4787,5159
2020-01-16,6759,33580,7316,21922,8325,44604,13906,37283,17530,77058,19392,67561,21134,80854,21975,64345,14946,27348,50368,14659,42215,100711,19806,32483,23742,83939,23475,118540,101738,74418,60991,28567,18683,50656,54901,56282,18684,19127,22069,18172,12611,9767,21533,13470,12839,17206,28321,42963,14358,10363,17414,4856,12168,14290,7480,3417,4843,5494
2020-01-17,6792,34722,7810,23119,8672,46414,14217,38354,17574,82812,19809,69245,21458,85536,22003,66124,15188,27365,52695,15228,43133,113715,20038,32523,25040,94215,23573,131529,107122,79081,62228,31155,19549,51199,56651,57936,19196,19410,22865,18801,12950,9887,21895,13524,13118,16834,29013,46138,14629,10748,17938,5071,12920,15289,7456,3834,5156,6156
2020-01-18,8531,31110,5600,17551,7042,39179,10863,32771,14382,80400,15286,49008,16199,77637,19127,50474,11771,22334,42235,29946,33192,116667,14180,23149,24423,90098,16024,99699,75387,73301,58558,31824,28224,48550,55249,52447,15589,14510,19157,14518,10441,7315,16768,10131,14869,14255,22913,46864,11964,8300,15331,4071,11100,13790,6767,3655,4339,7992
