date,구로,가산디지털단지,독산,금천구청,석수,관악,안양,명학,당정,의왕,성균관대,화서,수원,세류,병점,세마,오산대,오산,진위,송탄,서정리,지제,평택,성환,직산,두정,천안,봉명,쌍용,아산,배방,온양온천,신창
2019-01-01,19813,10785,11484,10743,9604,8598,26785,6108,5629,7306,15212,7149,69125,5150,17946,3194,3446,15472,1344,7016,6640,2990,22040,5255,1216,7142,11482,1211,2273,4495,1385,8875,1870
2019-01-02,43510,42228,37518,24144,21915,16633,49055,20632,13848,17768,30288,16672,82478,6912,29240,5994,5408,18731,3190,9118,8890,4420,23496,6412,1683,9706,10696,2629,3977,5107,1909,8912,2347
2019-01-03,44531,42874,37812,25100,22701,17182,51041,21010,14645,19012,31434,17515,81664,7230,29785,5890,5625,18399,3246,8828,8479,4339,22884,6210,1696,9695,10250,2814,4238,4738,1865,9397,2236
2019-01-04,45330,44309,38690,26095,23127,17740,53441,21233,15047,19779,32379,18083,90974,7703,32651,6407,6116,20170,3572,9914,9672,5184,26723,7221,1878,11443,12094,2876,4708,5970,2259,12423,2620
2019-01-05,35693,16381,21106,18665,16868,13788,46210,12812,9818,13161,25808,13487,94796,7372,27421,4952,4967,19165,2135,9873,8843,4210,27471,6085,1548,10365,14550,1913,3633,5427,2019,11542,2064
2019-01-06,25758,12965,14065,13898,12833,12452,35287,8716,7347,9267,19134,10056,79937,5799,21667,3941,4024,17095,1701,8378,7474,3490,24999,5694,1363,9006,12807,1470,2724,4519,1558,9469,1939
2019-01-07,45024,43894,38873,25216,22926,17364,51288,21362,15282,19422,32087,17744,83884,7378,30914,5950,5573,18932,3396,8935,9170,4609,23938,6631,1859,10110,10979,2853,4287,4838,1948,9411,2457
2019-01-08,44645,42958,38652,25142,23054,17866,51886,21660,14816,19654,31851,17593,82964,7360,29997,5895,5503,18879,3241,8755,8457,4446,23199,6226,1655,9680,11100,2845,4145,4578,1986,9306,2237
2019-01-09,44591,42491,38015,25034,22405,16965,49937,21794,14256,18968,30294,17222,82144,7274,29214,5913,5396,18535,3340,8811,8642,4316,23104,6304,1610,9614,10520,2852,4419,4747,1903,10606,2210
2019-01-10,45233,43465,38894,25537,23179,17265,51486,21581,14903,19645,30461,17754,84968,7442,30169,6238,5780,18615,3442,9251,8518,4429,23786,6344,1589,9766,10842,2792,4173,4878,2061,9316,2140
2019-01-11,47285,44536,39519,26553,23660,17965,54615,21702,15738,20023,33705,18378,95604,8078,33726,6274,5887,21053,3762,10241,9778,5413,27551,7364,1813,11461,12804,2947,4497,6412,2313,10731,2621
2019-01-12,37251,17418,21789,19431,17329,14560,48450,13905,10663,14125,26333,14114,102480,7780,28902,5103,5294,20637,2348,10449,9878,4274,29925,6678,1759,10856,15389,2051,3746,5867,2198,12481,2120
2019-01-13,27336,13431,14517,14033,13220,11456,36031,9033,8062,9613,19392,10004,85048,6100,22161,4058,4133,18872,1910,8713,8030,3483,27122,6488,1504,9474,13748,1477,2849,5038,1723,10272,1983
