date,신도림,대림,구로디지털단지,신대방,신림,봉천,서울대입구,낙성대,사당,방배,서초,교대,강남,역삼,선릉,삼성,종합운동장,잠실새내,잠실,잠실나루,강변,구의,건대입구,성수,뚝섬,한양대,왕십리,상왕십리,신당,동대문역사문화공원,을지로4가,을지로3가,을지로입구,시청,충정로,아현,이대,신촌,홍대입구,합정,당산,영등포구청,문래
2019-01-01,51935,33921,49673,28970,74191,21997,50865,27490,39188,11019,8580,18499,75273,20995,21291,49644,8008,22578,91401,10368,56640,20377,59322,16271,10086,5091,17711,11683,14135,22803,7590,15658,43808,14430,7638,8914,20593,51270,132123,33825,16629,13053,11963
2019-01-02,119801,61548,141922,58761,146957,50923,111086,62173,88253,41083,48534,81437,233032,122755,122989,127799,21583,53200,168694,36448,88184,52242,89781,68429,40448,19769,35917,30657,31169,36305,26841,52619,110681,57565,24853,21086,37406,98718,159168,69561,48018,49723,45407
2019-01-03,124648,62590,145984,60117,150327,52685,113063,63384,96892,42770,50544,86653,245143,127836,129323,137074,23831,56668,178310,38016,88429,54359,93705,71143,41670,20591,38448,31769,32571,40858,28075,53766,115123,59383,25454,21495,38020,100275,162184,73750,51041,52303,47397
2019-01-04,130544,63813,151167,61269,156895,53103,120027,65971,105861,43949,50931,91574,264826,129754,130713,140159,23410,59183,188245,39443,99422,55468,102929,71831,42859,20555,40776,32605,34468,40911,29237,56224,120240,60517,26090,22183,39820,108308,186827,80973,53572,52873,48064
2019-01-05,116957,48741,88765,45609,124337,39082,91328,49155,83106,25654,26937,48852,185844,49947,59085,89486,27442,46255,160300,20515,90728,36398,96379,32360,21910,11362,32562,21473,26592,34620,20802,25838,72803,24697,15248,16666,35282,100384,198972,67126,33605,27867,26434
2019-01-06,78098,42019,63867,36494,93267,28495,66831,36493,56175,17649,31160,28773,103482,29434,30444,60121,22903,30033,113563,14769,68543,25826,68959,20136,16362,6631,22764,15446,19439,27959,8362,19913,54283,15218,9933,12048,22286,64889,141065,48846,23134,17773,16422
2019-01-07,121706,63828,146457,60429,148202,53517,114088,64365,95479,43144,51201,89637,242619,130102,131672,128992,22924,54397,169149,38825,89946,54012,90003,71210,41514,21076,37009,31416,32712,36604,28028,52609,108652,58290,25812,21848,37272,97796,150444,70572,50438,52651,47625
2019-01-08,121511,62913,147518,60513,150145,54103,114493,64246,98030,44115,52022,93455,246658,131558,131288,133470,21626,54862,176453,39263,85892,54620,90416,71676,43005,21170,37494,32107,33136,37562,28029,52809,112037,59711,25943,22913,37476,100397,154978,72001,51361,52769,48134
2019-01-09,122991,62009,145856,59878,150399,52300,114799,63984,97789,43238,51933,91878,246022,130427,130875,136017,19233,53446,173101,38244,86459,54135,92393,70978,41736,22150,38317,31941,32555,38003,26929,52933,109249,59051,25960,21814,36866,97845,151296,71470,50475,51771,47185
2019-01-10,125255,62751,147837,60720,154373,53769,115235,64762,100848,44035,54499,94825,249196,132745,134129,137806,20661,55267,179213,39439,88691,54933,94260,72529,42618,21423,38340,32571,33130,38647,28052,53482,111331,60818,26205,22074,38402,100456,157911,74707,51637,52906,48708
2019-01-11,131988,64304,152077,62006,159874,54256,121364,66931,110872,44773,52886,99045,270553,131905,131369,149125,19964,59670,186876,39657,102559,55739,104750,73639,42964,21519,41065,32621,34320,41228,28865,55886,116026,60800,26721,22448,39154,107752,178568,82343,54144,53983,49094
2019-01-12,119056,50741,92141,47223,130245,40770,93747,49951,89934,26509,31718,51239,194395,52278,61374,106186,16618,46850,165159,21211,96912,37701,100098,32409,23311,12576,33364,21540,27438,37009,21512,27250,75759,26487,16143,17386,33850,97112,202188,68555,35521,28038,27323
2019-01-13,77334,43868,65766,37431,95791,29554,66953,36493,59954,18205,30968,30175,108872,30316,30567,75367,13141,30378,118920,14701,74363,26467,73248,20142,15052,14528,23180,15070,19933,29132,9021,20608,55815,14167,10006,12272,24996,66140,145713,47737,23359,17110,15552
2019-01-14,118588,62919,144954,59275,146276,52552,111970,62762,93052,41843,50094,90553,238031,130121,128597,128733,19671,52353,165362,38266,89186,53178,87539,68692,39807,19110,35608,31004,31710,35349,27020,52115,106639,57150,25410,21539,37600,94469,145755,68629,48838,52285,47861
2019-01-15,123005,62601,147425,60725,150148,53260,113503,65175,98134,43023,52230,93435,244572,131946,130551,132012,18382,53936,176111,38368,87847,54673,90750,71521,42841,19966,37036,31838,32833,36726,27079,52507,110337,59542,25898,22159,38378,97826,151218,71639,50577,53046,47419
2019-01-16,123939,61842,148889,60515,152876,53045,115396,65136,99044,42427,52444,93323,248975,133478,132302,139270,18939,53843,176860,38229,87814,53973,91344,72207,42525,19817,37309,32010,33041,37768,27675,55027,111502,60454,26321,22088,39103,100035,157816,74658,50880,51970,48092
2019-01-17,126038,62968,149592,61096,154109,53428,116423,65967,102149,42582,53751,95446,249573,134070,133208,140946,19673,55313,179995,39398,89403,55316,93479,72650,42726,20402,38511,32755,33282,39077,28535,53891,114328,60265,26590,22560,38831,100394,161670,75092,52264,53568,48826
2019-01-18,133278,64543,154206,61744,159282,53922,121705,67033,109332,43503,52862,97358,267565,131594,132733,140445,20142,59266,190365,39721,102485,55872,103806,73155,43707,20438,40943,32706,34737,41271,29387,56592,117717,60771,26373,23403,38407,106922,180145,82469,54021,53905,49596
2019-01-19,122179,50360,92813,47465,127584,40020,92891,48753,90408,25757,29516,49846,192357,52850,61987,85916,16180,46347,164923,20487,95599,37927,98815,34889,24129,11389,32558,21551,27432,36529,21254,26776,76455,25627,16542,17087,34809,95420,200074,68867,36327,28820,28371
2019-01-20,83016,43837,66503,37247,96784,29459,68082,36796,58696,18412,31220,29434,107559,30545,30784,63181,12485,30275,118237,14821,73148,26547,71668,21832,15606,6830,23553,15273,20067,27843,8818,20610,57725,16130,9845,12396,22106,66043,147279,48512,23725,18912,17341
2019-01-21,120030,62927,146039,59960,148173,53072,111954,63247,93783,42088,51183,90225,238190,133108,129757,130368,20110,53331,170939,38420,90052,53967,88516,71276,40906,18696,35866,31147,32090,35885,27777,53242,108588,58868,26107,21645,35569,94012,146738,69386,50081,52680,48237
2019-01-22,121013,63531,148646,61232,151058,54232,114268,64725,98828,47384,53130,93752,244027,133718,132534,133883,19296,53949,178100,39440,86041,55348,91037,73120,43596,18778,36630,31731,33511,38129,29181,54418,113043,61805,26034,22607,37553,96617,155576,73179,51818,53055,48820
2019-01-23,126358,63816,149990,61612,153251,53553,115402,64901,99433,46197,54491,93903,249613,135265,132763,149190,27194,54679,183076,39757,89977,54994,92890,73400,43013,17844,38212,32312,33566,38588,28941,55002,114477,61116,26966,23337,38606,98358,161868,74654,52539,53423,48877
2019-01-24,130811,63128,149606,61324,152076,53622,115163,64376,101570,44917,52637,94330,249590,134777,134089,151358,19477,55596,184712,39656,90465,55364,93538,74540,43597,18857,37783,32433,33340,39854,29012,54365,117380,61788,26709,22931,38343,98080,167574,75665,52724,54396,49152
2019-01-25,133890,64078,154583,62012,159677,54843,122717,67201,110568,44496,54020,98522,268590,134954,133869,153057,24306,61273,190284,39102,101439,56622,102743,75174,43747,19196,41013,33227,34504,43088,29972,57089,120791,62216,27417,23724,40546,107878,191853,85414,53992,54009,49179
2019-01-26,122309,49726,93038,47447,129409,40453,94391,50761,86578,27178,32168,51432,194221,52680,62655,87967,14313,45654,166427,20820,96334,38070,99053,38828,25199,11651,32835,21641,27572,38398,22295,27453,79254,26969,17429,17545,34493,101492,215695,73554,36090,27918,26773
2019-01-27,82693,43586,66399,37512,96370,29315,68126,36882,58493,18308,31153,30039,109840,31125,31074,64512,28018,31573,119482,15014,73546,26872,73116,23198,16125,6674,23883,15307,20296,28873,10034,21612,58950,17408,10030,12587,23890,69910,158181,52142,24269,17395,16245
2019-01-28,122038,62496,146240,59902,149638,53295,112120,63224,94288,42346,50459,90519,237416,133135,130126,131956,18902,53816,171243,38419,90341,54084,89352,71772,42063,18353,36512,31517,32495,36969,29284,52767,111321,58963,26144,22151,38139,95680,157253,71576,50198,53386,47899
2019-01-29,122500,63032,148268,61005,151135,53869,113745,64802,96772,42807,52080,91215,241268,133225,131586,138343,19859,54280,178502,39565,87506,54439,91188,72114,43636,18223,37298,31907,33509,38252,29102,52706,113125,61037,26377,22640,37041,96136,155757,73359,51127,53668,48020
2019-01-30,124687,62730,148412,61619,152445,53522,114205,64473,96873,42876,52468,93481,236891,133198,131498,137848,19325,54752,177554,39063,89472,55591,93525,72661,45136,18740,38094,32392,34181,40546,28949,54659,113265,61246,26518,22457,37768,99008,155955,74397,51720,52678,49117
2019-01-31,124685,61831,147667,60762,150421,52828,113262,63451,95825,42311,51271,90919,233814,133158,131103,132933,21213,55904,174997,39271,88593,55042,93950,72287,43728,18491,37893,32620,33132,38008,27789,52560,111707,59556,26334,22460,36018,97974,153972,73175,51212,53222,48397
