date,신도림,도림천,양천구청,신정네거리
2020-01-01,52812,727,5682,8933
2020-01-02,118144,2846,16066,21407
2020-01-03,125187,2828,16822,22233
2020-01-04,109212,1801,10706,16549
2020-01-05,74841,997,7946,11349
2020-01-06,121144,2964,16784,21823
2020-01-07,117816,3016,16382,21276
2020-01-08,122332,2829,17092,22119
2020-01-09,125615,2927,17184,22392
2020-01-10,131255,2893,17302,23378
2020-01-11,120123,1851,11068,17384
2020-01-12,76514,978,8252,12071
2020-01-13,119812,2985,16840,22411
2020-01-14,119773,2992,16974,22333
2020-01-15,124640,2951,17089,22646
2020-01-16,125978,2972,17075,22526
2020-01-17,130438,2988,17643,23058
2020-01-18,114730,1813,11618,17358
2020-01-19,75857,994,7867,11811
2020-01-20,121634,2946,17091,22618
2020-01-21,122842,2930,17075,22560
2020-01-22,126682,2970,16976,22550
2020-01-23,121077,2630,15720,20739
2020-01-24,47912,708,5949,8746
2020-01-25,36153,570,5347,8137
2020-01-26,53906,694,6635,9899
2020-01-27,60754,1124,6766,10127
2020-01-28,110667,2662,15446,19956
2020-01-29,116336,2710,16073,21241
2020-01-30,118836,2838,15976,20883
2020-01-31,118789,2816,16149,21305
2020-02-01,91659,1552,8737,13889
2020-02-02,61748,818,6364,9276
2020-02-03,107204,2968,15444,20389
2020-02-04,107337,3160,15102,20173
2020-02-05,104311,3099,14728,19470
2020-02-06,104868,3096,14465,19242
2020-02-07,111454,2725,14971,20265
2020-02-08,86975,1649,8391,13284
2020-02-09,59215,812,6159,8966
2020-02-10,104843,2615,15067,20095
2020-02-11,108007,2654,15150,20413
2020-02-12,108223,2643,14923,19831
2020-02-13,112820,2541,15256,20593
2020-02-14,121474,2684,15796,21681
2020-02-15,98505,1542,9426,14784
2020-02-16,63221,853,6866,10097
2020-02-17,109546,2751,15463,20277
2020-02-18,111000,2725,15354,20112
2020-02-19,111235,2626,15515,20846
2020-02-20,110651,2689,15226,20720
2020-02-21,107954,2557,14648,19703
2020-02-22,76756,1359,7282,12103
2020-02-23,46751,721,5036,7443
2020-02-24,90174,2428,12669,17529
2020-02-25,81986,2241,11378,16008
2020-02-26,84582,2222,11502,16098
2020-02-27,83601,2125,10827,15487
2020-02-28,80714,2079,10608,15307
2020-02-29,51948,1132,5110,8915
2020-03-01,32521,555,3366,5239
2020-03-02,78710,2098,10761,15226
2020-03-03,77594,2167,10518,15047
2020-03-04,78095,2091,10591,15071
2020-03-05,79930,2031,10525,15536
2020-03-06,83701,2100,10744,15834
2020-03-07,55524,1211,5563,9331
2020-03-08,35379,565,3815,5842
2020-03-09,82476,2275,11196,16055
2020-03-10,71260,2064,10367,14769
2020-03-11,69667,1974,10226,14877
2020-03-12,67341,1922,9904,14481
2020-03-13,69998,1981,10188,14821
2020-03-14,46685,1101,5222,8894
2020-03-15,29595,559,3674,5419
2020-03-16,70179,2065,10421,14812
2020-03-17,72320,2006,10461,15058
2020-03-18,74737,1999,10831,15249
2020-03-19,72360,1957,10314,14605
2020-03-20,80392,2029,10907,15844
2020-03-21,52615,1212,5793,9539
2020-03-22,33557,563,4017,5973
2020-03-23,77070,2069,11077,15508
2020-03-24,75565,2038,11025,15635
2020-03-25,79515,2012,11075,15736
2020-03-26,78208,2080,10828,15573
2020-03-27,82840,2056,11147,16096
2020-03-28,54430,1204,6123,9867
2020-03-29,36048,693,4076,5895
2020-03-30,79297,2131,11047,15959
2020-03-31,79668,2134,10998,15865
2020-04-01,80809,2166,11095,15891
2020-04-02,81397,2147,11076,15638
2020-04-03,86086,2178,11483,16463
2020-04-04,55563,1470,6172,10144
2020-04-05,38109,804,4280,6432
2020-04-06,82524,2221,11544,16556
2020-04-07,82532,2179,11614,16325
2020-04-08,83934,2194,11849,16475
2020-04-09,83505,2158,11554,16455
2020-04-10,89225,2106,11972,16966
2020-04-11,60292,1319,6394,10558
2020-04-12,38833,734,4566,6791
2020-04-13,84720,2197,11858,16959
2020-04-14,95720,2188,11794,17128
2020-04-15,50048,1199,5527,8934
2020-04-16,85902,2180,11969,17251
2020-04-17,88470,2163,11917,17003
2020-04-18,66263,1310,7176,11352
2020-04-19,39632,650,4484,6678
2020-04-20,86366,2231,12314,17482
2020-04-21,87777,2319,12390,17704
2020-04-22,90098,2314,12447,17632
2020-04-23,90751,2297,12574,17970
2020-04-24,96028,2369,12974,18563
2020-04-25,71559,1378,7523,12216
2020-04-26,46091,773,5426,7989
2020-04-27,91161,2344,13114,18536
2020-04-28,91668,2455,13102,18799
2020-04-29,99794,2415,13562,19188
2020-04-30,58469,1238,6750,10611
2020-05-01,61692,1327,7761,11573
2020-05-02,65050,1330,6966,10571
2020-05-03,47054,674,5436,8484
2020-05-04,88674,2049,11259,16774
2020-05-05,52438,1115,5816,9447
2020-05-06,97443,2433,13730,19604
2020-05-07,98844,2353,13917,19842
2020-05-08,101370,2515,14222,20194
2020-05-09,69487,1251,7537,11713
2020-05-10,50737,816,5767,8647
2020-05-11,95400,2410,13709,19645
2020-05-12,92655,2423,13517,19282
2020-05-13,97483,2384,13624,19434
2020-05-14,95759,2257,13398,18710
2020-05-15,96416,2368,13344,18617
2020-05-16,75807,1422,7988,11938
2020-05-17,52282,791,6804,8488
2020-05-18,91846,2450,13211,18796
2020-05-19,94141,2349,13310,18509
2020-05-20,99277,2593,13957,19870
2020-05-21,98278,2545,13802,19256
2020-05-22,101985,2481,13928,19744
2020-05-23,81214,1520,8093,13312
2020-05-24,49614,862,5440,8154
2020-05-25,96261,2496,13696,19515
2020-05-26,94582,2618,13776,19496
2020-05-27,98194,2721,13741,19727
2020-05-28,95804,2647,13466,19416
2020-05-29,99907,2624,13603,19752
2020-05-30,77123,1423,8816,13094
2020-05-31,49161,806,5508,8296
