date,성수,용답,왕십리,신답,용두,신설동
2019-01-01,16271,3041,17711,1304,2096,4722
2019-01-02,68429,5447,35917,3667,4921,8612
2019-01-03,71143,5601,38448,3822,5308,9109
2019-01-04,71831,5819,40776,3957,5597,10257
2019-01-05,32360,4390,32562,2464,3954,9687
2019-01-06,20136,3689,22764,1786,2620,8773
2019-01-07,71210,5643,37009,3809,5402,8752
2019-01-08,71676,5582,37494,3859,5404,8640
2019-01-09,70978,5640,38317,3887,5193,8501
2019-01-10,72529,5520,38340,3791,5399,9007
2019-01-11,73639,5947,41065,4000,5836,10129
2019-01-12,32409,4489,33364,2533,4160,9851
2019-01-13,20142,3615,23180,1838,2388,8389
2019-01-14,68692,5427,35608,3810,5111,8678
2019-01-15,71521,5602,37036,3770,5366,8680
2019-01-16,72207,5555,37309,3869,5355,8839
2019-01-17,72650,5697,38511,3886,5609,9113
2019-01-18,73155,5878,40943,3920,5819,10454
2019-01-19,34889,4553,32558,2524,4126,9307
2019-01-20,21832,3684,23553,1767,2746,8733
2019-01-21,71276,5807,35866,3732,5282,8674
2019-01-22,73120,5533,36630,3859,5476,8312
2019-01-23,73400,5615,38212,3833,5650,8870
2019-01-24,74540,5571,37783,3825,5558,9171
2019-01-25,75174,5792,41013,3735,5779,10610
2019-01-26,38828,4708,32835,2370,4356,9979
2019-01-27,23198,3552,23883,1777,2727,8655
2019-01-28,71772,5499,36512,3742,5864,9061
2019-01-29,72114,5566,37298,3885,5840,8519
2019-01-30,72661,5637,38094,3874,5826,9005
2019-01-31,72287,5546,37893,3854,5852,8948
2019-02-01,68627,5592,38736,3864,6005,9984
2019-02-02,25385,3931,26261,2020,4377,8341
2019-02-03,14354,2718,17131,1249,2501,5115
2019-02-04,11980,2419,13104,1097,2113,4071
2019-02-05,10414,2638,11580,1103,1491,2858
2019-02-06,16412,3028,17808,1280,2112,4519
2019-02-07,66456,5082,34801,3456,4724,8413
2019-02-08,70034,5438,39563,3654,5237,9126
2019-02-09,32651,4089,31257,2341,3810,10126
2019-02-10,20329,3236,22501,1533,2412,7552
2019-02-11,70901,5442,37676,3890,5327,8973
2019-02-12,72871,5454,38732,3879,5345,8765
2019-02-13,73743,5554,39277,3918,5378,9228
2019-02-14,74457,5487,39950,3936,5286,9284
2019-02-15,77828,5632,41803,3992,5405,11266
2019-02-16,37399,4512,36996,2703,4487,10512
2019-02-17,24254,3689,25032,1867,2809,9075
2019-02-18,73747,5426,36659,3820,5443,8865
2019-02-19,74347,5601,37559,3913,5285,8849
2019-02-20,74378,5776,39581,3883,5520,9319
2019-02-21,74648,5774,40980,3910,5432,9297
2019-02-22,75402,5924,42758,3953,5690,10202
2019-02-23,42235,4509,36610,2609,4435,10645
2019-02-24,24380,3913,26045,1855,2604,9215
2019-02-25,73131,5642,38786,3784,5661,8912
2019-02-26,75838,6159,39996,3901,5633,8563
2019-02-27,74617,5672,39367,3967,5687,8782
2019-02-28,75172,5858,41358,3884,5727,9404
2019-03-01,33038,4041,30090,2148,3864,8386
2019-03-02,31181,4325,31540,2343,3794,9682
2019-03-03,23266,3975,25590,1763,2832,8624
2019-03-04,72845,6833,39845,3940,5554,8700
2019-03-05,72900,6824,40020,3781,5348,8598
2019-03-06,73858,6860,41451,3928,5383,9076
2019-03-07,74052,6895,42584,3971,5703,9381
2019-03-08,76873,6683,45467,4041,5992,10563
2019-03-09,37892,5011,37515,2807,4539,10626
2019-03-10,23548,4116,26127,1957,2703,8730
2019-03-11,71856,6891,40524,3957,5472,9148
2019-03-12,73581,6615,40465,3850,5326,8933
2019-03-13,74432,6786,41474,3981,5452,9300
2019-03-14,75310,6872,42091,4075,5859,9315
2019-03-15,75705,6814,44967,4178,5834,10783
2019-03-16,38068,5214,38111,2734,4320,10428
2019-03-17,26803,4746,27278,2382,3699,11065
2019-03-18,73196,6891,39482,4148,5793,8993
2019-03-19,74196,6939,40204,4093,5687,8749
2019-03-20,73590,6661,40804,3987,5616,9422
2019-03-21,75656,6954,41559,4124,5595,9444
2019-03-22,77477,6969,44696,4115,5775,10840
2019-03-23,39415,5055,36229,2737,4069,9473
2019-03-24,24788,4435,25945,2009,2663,9197
2019-03-25,73403,6695,39093,3958,5604,8930
2019-03-26,74434,6827,40200,4013,5523,8550
2019-03-27,75032,6804,40289,3972,5560,8732
2019-03-28,75882,6766,41204,3994,5668,9069
2019-03-29,77115,6916,44336,4135,5776,10269
2019-03-30,37540,4572,35789,2682,4560,9283
2019-03-31,22907,4116,25352,1842,2857,8680
2019-04-01,73231,6618,38935,3990,5428,8836
2019-04-02,74066,6758,39416,3924,5582,8851
2019-04-03,74404,6624,40830,3946,5492,8902
2019-04-04,75117,6759,40749,3934,5584,8885
2019-04-05,75858,6768,44399,4051,5737,10029
2019-04-06,37816,4497,35343,2602,4510,9263
2019-04-07,25039,4467,27234,2077,3058,9072
2019-04-08,72047,6614,39082,3976,5387,8534
2019-04-09,74483,6578,38736,3899,5410,8942
2019-04-10,74184,6642,39346,3947,5354,8510
2019-04-11,75247,6766,40233,4006,5655,8847
2019-04-12,79414,6812,43618,4047,5882,9928
2019-04-13,40754,4919,35825,2974,4347,10112
2019-04-14,23259,3664,24576,1797,2449,6876
2019-04-15,74619,6657,37725,4087,5597,8799
2019-04-16,74828,6624,38988,3992,5461,8499
2019-04-17,75467,6633,39149,4004,5512,8742
2019-04-18,74961,6541,39041,3994,5414,8661
2019-04-19,76764,6637,42271,3982,5848,9849
2019-04-20,37486,4659,33503,2681,4408,10039
2019-04-21,23684,3982,23003,1916,2922,8537
2019-04-22,73603,6598,36834,3934,5469,8526
2019-04-23,73987,6621,37876,4011,5441,7862
2019-04-24,74800,6410,40131,4025,5623,8339
2019-04-25,74672,6457,40832,3915,5487,9207
2019-04-26,75801,6637,44252,4096,5444,10340
2019-04-27,39928,5072,37271,2905,4498,9972
2019-04-28,25193,4109,25813,1918,2759,8539
2019-04-29,73863,6641,40546,3961,5378,8734
2019-04-30,76097,6917,42737,4033,5595,9044
2019-05-01,39020,4677,34460,2493,4375,7892
2019-05-02,75895,6668,42463,3930,5466,9019
2019-05-03,76692,6775,45057,4125,5661,10102
2019-05-04,37389,5009,35976,2718,4454,10283
2019-05-05,25158,4450,26311,1986,2912,8666
2019-05-06,31207,4241,27318,2097,3506,6441
2019-05-07,75151,6766,40634,3944,5510,8234
2019-05-08,76481,6846,40329,4103,5678,8557
2019-05-09,75468,6678,42386,4067,5464,8776
2019-05-10,78291,6806,45875,4199,5981,9662
2019-05-11,39225,4964,38170,2908,4295,9913
2019-05-12,24485,4475,26271,2110,2815,8771
2019-05-13,72477,6462,39662,3936,5448,8359
2019-05-14,75296,6678,41460,3964,5613,8530
2019-05-15,76539,6963,41627,4188,5670,8731
2019-05-16,74460,6768,42080,4018,5676,8666
2019-05-17,76877,6914,44804,4058,5623,9832
2019-05-18,39579,4861,37284,2866,4496,9587
2019-05-19,22369,3859,25430,1738,2647,6381
2019-05-20,74263,6586,40185,4021,5401,8629
2019-05-21,75167,6755,40339,4052,5507,8598
2019-05-22,75257,6718,41012,4062,5530,8661
2019-05-23,74614,6639,41226,4067,5378,8733
2019-05-24,77038,6675,44645,4104,5722,10031
2019-05-25,40390,5056,39098,2790,4428,9553
2019-05-26,25194,4353,26792,2074,2700,8537
2019-05-27,71621,6392,37937,3978,5186,8210
2019-05-28,75681,6660,39835,4097,5531,8092
2019-05-29,75193,6588,40908,3921,5602,8562
2019-05-30,74634,6624,41676,3944,5387,8298
2019-05-31,76232,6662,44156,4110,5539,9533
