date,대화,주엽,정발산,마두,백석,대곡,화정,원당,원흥,삼송,지축,구파발,연신내,불광,녹번,홍제,무악재,독립문,경복궁,안국,종로3가,을지로3가,동대입구,약수,금호,옥수,압구정,신사,잠원,고속터미널,교대,남부터미널,양재,매봉,도곡,대치,학여울,대청,일원,수서,가락시장,경찰병원,오금
2019-01-01,11513,8070,9061,6499,12224,1299,17960,11224,7116,17411,890,20455,42104,20196,9842,17204,3356,7654,20636,22331,11486,6536,12559,11472,7500,8627,18327,28989,4510,81143,5080,31692,21237,6311,3399,9780,1242,7063,6106,16874,6879,5316,4492
2019-01-02,27837,20994,17204,18549,24292,2997,40445,24134,17772,33535,2294,41397,85367,40282,27057,38465,8441,16115,48565,50015,27327,25537,20434,29411,18025,20610,79915,74527,13515,108547,25348,74703,89572,25904,12339,26472,3970,19878,20533,36672,20602,18310,13878
2019-01-03,28385,21810,18725,19205,25246,3029,42004,24800,18587,34411,2468,42568,88255,41735,27501,39686,8628,17496,50697,52502,29128,25970,27160,30715,18556,21845,81274,78578,14031,111173,27506,74273,94569,26501,12761,26933,3964,20393,22521,37796,22243,18650,14665
2019-01-04,28845,22661,20256,19752,25947,3192,43943,25535,18652,35807,2483,43588,91646,42785,28104,40835,8709,17163,52191,53867,30114,27535,22429,32041,18935,22607,85663,84530,14337,131287,29002,83166,101145,26932,13459,28557,4225,20983,22638,42387,23855,18593,14810
2019-01-05,20737,15960,17869,13573,20035,2192,33763,18768,12700,27146,1842,32779,70885,34526,19037,31094,5990,14032,40243,36691,23056,13184,17707,21397,13419,16358,61594,63596,9493,142740,13744,60463,56948,12653,8944,21362,2709,12610,11430,29762,15824,9392,8927
2019-01-06,15482,10792,13978,9038,15002,1783,26978,14492,9788,20301,1377,25911,52754,27058,13350,22758,4516,11417,28046,25712,13141,8052,16233,16290,9765,11511,33744,34990,6149,109878,8362,39784,37354,8321,4653,13876,2036,9371,9105,22675,9883,6666,6938
2019-01-07,28156,22109,17756,20042,24963,3142,42430,25114,18397,34386,2459,42291,87692,41713,27543,40143,8672,16200,47377,49952,28104,26525,20604,31002,18469,21642,80200,75919,14241,108767,29007,75642,96474,26998,13006,27691,4121,20587,22860,38883,22239,18776,14543
2019-01-08,28581,21922,17923,19676,25249,3062,41057,25152,18517,34163,2449,43168,88655,41989,28143,40306,8949,16818,48671,52077,29263,26297,22627,31238,18413,21839,80885,76047,14254,109168,29295,77624,99162,27371,12998,28281,4032,21439,22945,39506,22771,19019,14911
2019-01-09,27928,21514,18238,19115,24198,2986,41191,24557,18509,33323,2455,42069,86515,41456,27504,39715,8681,16546,50133,51049,27623,26350,23483,31103,18289,21503,79807,76045,13873,108592,29262,75830,99503,26693,12690,27784,4065,21144,23263,39154,22057,18717,14505
2019-01-10,28315,22042,17714,19905,25129,3107,40839,25230,18704,34418,2549,42751,88263,42847,28277,40303,8730,16607,51410,51118,28478,26057,22076,31602,18552,22239,80754,78252,14002,111907,30084,79876,101431,27391,12693,27965,4456,20745,23361,39835,22955,18668,14818
2019-01-11,29242,22856,20077,20573,26589,3275,43806,25823,18931,35264,2615,43716,91449,43869,28365,41232,8694,17444,53877,52673,29851,28048,22703,32591,19287,22591,85082,83372,14400,133683,31779,85305,105327,27457,13405,28962,5809,21280,22943,43653,24386,18839,14956
2019-01-12,21503,16862,18289,13793,21092,2560,34364,19996,13179,28139,2126,33928,72850,35418,20282,32360,6103,15185,48530,41389,24210,14046,22453,22184,13817,16222,62646,67542,9443,146535,14688,65704,59273,13238,9127,21736,5863,13186,12122,30725,16363,10003,9766
2019-01-13,15500,10833,13916,8943,15373,1915,27320,14602,9558,20484,1382,24333,52026,26762,13876,22462,4384,10939,29959,25489,14190,8695,14301,16189,9998,11559,34255,37515,6175,114014,8509,45630,36814,8554,4958,14387,4294,9276,8989,23587,9650,7086,7080
2019-01-14,27887,21458,16915,18550,24516,2972,39898,24529,18149,33021,2464,40408,85412,40609,27247,39136,8483,15670,46860,48454,28682,26176,20804,30437,17808,20798,78335,74161,13870,107912,28753,75518,96840,26612,12600,27170,3925,20630,22966,38768,21891,18995,14149
2019-01-15,28262,22132,18053,18634,24768,3131,42037,24688,18168,33767,2548,41235,86927,41289,27880,39621,8803,16193,49276,49375,29324,26134,21879,30912,18322,21484,79559,75797,13995,108278,29773,76454,98317,27170,12923,27578,4372,20767,22426,39369,22153,18598,14448
2019-01-16,28776,22274,19174,19317,25023,2965,43625,24702,18812,34174,2541,41995,87178,41665,27862,39653,8775,16815,52067,50945,29540,27528,20759,31403,18292,21730,80664,76694,13774,110334,29768,76604,98169,27255,12606,28066,4281,20632,23296,39652,22589,18663,14553
2019-01-17,28817,22611,18297,19627,25709,3024,42834,25387,19098,34977,2629,42631,89187,42378,28619,40462,9019,17614,54957,52058,30257,26743,27672,31802,18702,22328,81330,79111,14117,113492,30512,79607,100709,27498,13284,28497,10933,22622,22803,40416,23123,18955,14908
2019-01-18,29182,22778,20236,20178,25976,3309,44306,25516,18752,35019,2510,42890,91106,43439,28790,41395,8885,17330,55270,53540,32018,27625,23163,32799,19312,22593,85464,83945,14326,136151,31542,87560,105309,27723,13383,29424,11880,22075,22456,44089,24418,19077,15153
2019-01-19,21559,16468,17729,13487,21076,2387,32963,20026,13016,27927,2040,33287,72285,34938,19817,32689,6273,15015,49652,40020,24317,14433,21882,21884,13564,16166,62468,66323,9209,145873,14409,65979,60455,12992,10085,21451,11965,12896,12164,31350,16273,10020,9689
2019-01-20,15400,11083,13937,9018,15521,1873,26163,14754,9511,20779,1485,25951,53107,26360,13870,22532,4495,11287,33306,25865,14630,8638,18519,16669,10105,11622,34216,37019,6337,115355,8565,45029,36871,8629,4957,14060,9846,9569,8990,23206,10581,7186,7189
2019-01-21,27948,22242,17356,19036,24671,2959,42135,24811,18364,33559,2485,41371,86330,40580,27884,39623,8419,15709,48428,48445,28801,26499,20469,30965,18030,21384,79064,73913,13930,108413,29164,76142,95793,26990,12823,27328,3956,21111,22211,39166,22099,19144,14650
2019-01-22,27828,22396,18259,18877,25465,3049,43081,25320,18811,33207,2539,42079,87831,42304,28511,40170,8711,16969,50070,51144,29060,26797,21507,31699,18529,22275,80407,76798,14068,109495,29993,78312,98748,27318,13103,27604,4183,21791,22983,39358,22883,18436,14968
2019-01-23,28279,22317,19391,19690,24635,3138,44152,25240,18932,34209,2618,42777,88637,42705,28280,40714,9007,17129,53955,52799,29513,26871,20656,31651,18787,22326,79710,77435,14104,110428,29314,77934,99724,27354,12834,27601,4228,21895,23287,39553,23017,18661,14615
2019-01-24,28338,22273,17906,19637,25843,3094,42807,25146,18832,33976,2613,42289,88368,42660,28765,40227,8808,16769,54020,52900,29905,27369,26822,31687,18558,22456,79836,79497,14191,113871,29935,80593,100493,27417,13199,27913,5522,21408,23442,40280,23100,18583,14735
2019-01-25,29995,22904,19896,20084,26752,3113,43699,25952,18928,35157,2635,43870,92490,43648,29207,42417,8756,17376,54775,54254,32004,28845,22033,33027,19195,23252,85223,85059,14357,135384,31350,88137,106332,27604,13806,29712,4977,22434,22624,44163,24662,18785,15447
2019-01-26,27425,16661,18297,13866,21342,2461,34395,20163,13530,28034,1956,34378,72556,35437,20332,32318,6296,15077,47020,40902,25680,14538,23935,22661,13753,15862,64856,67854,9398,148960,14786,67880,61452,13356,9729,22115,3986,13181,11992,31370,16646,10015,9330
2019-01-27,19793,10832,14262,9117,15689,1859,26746,14967,9535,21585,1391,25521,53886,27471,13989,23145,4551,11632,36284,27483,15179,8596,14003,16837,10090,11530,34760,38300,6291,112795,8473,47127,37643,9152,4659,14395,2949,9474,9169,23894,10362,6976,7279
2019-01-28,28313,22238,17652,19305,25085,3015,42637,24879,18362,34622,2440,41548,87770,41554,27969,40000,8624,16309,48727,49662,29217,26233,19646,31265,18325,21917,80664,77962,14356,110728,28701,75879,97109,26939,13454,27871,4013,21854,23669,39249,23065,18556,14474
2019-01-29,27681,21982,17951,18550,25273,3087,42938,25129,18823,34546,2508,42535,88499,43000,28367,40526,8767,17494,48355,50818,29522,26024,19905,31555,18667,22336,80933,78120,14264,110419,29386,79744,99288,27254,12829,27826,4088,22138,23265,39975,23481,18953,14772
2019-01-30,29039,22379,20179,18898,25994,3126,44728,25306,18750,34596,2590,42968,90267,43051,28656,40889,8720,17602,52431,52506,30276,26725,19897,31685,18893,22450,81885,77755,14324,111712,30004,80748,99791,27325,13283,27905,4236,22150,23573,39930,23589,18716,14629
2019-01-31,27705,22151,17556,18604,25142,2972,42316,24734,18325,34151,2545,42353,89163,42397,28211,40527,8944,16897,49458,48505,28995,26123,19669,31342,18882,22133,79548,78631,14363,114560,29096,79686,99478,27167,13104,27662,3977,22223,23120,39921,23236,18514,14454
2019-02-01,28042,21721,19154,19250,25544,2947,43070,24926,17776,34798,2363,42507,91833,42616,27899,40026,8700,16638,47983,47605,29822,25328,18459,30603,18611,21628,80432,79161,13926,139193,27553,85408,95269,25401,12577,28527,3969,20993,21476,40347,23457,17224,14157
2019-02-02,17282,13886,15734,11648,18306,2064,28762,16766,10637,24947,1540,28779,64607,31865,16368,27198,5525,12092,29721,27972,18010,10060,15269,18373,11892,13660,49885,48709,7953,126231,10710,52203,36421,10475,5926,18846,1973,11183,9121,23998,14053,7873,7538
