date,대화,주엽,정발산,마두,백석,대곡,화정,원당,원흥,삼송,지축,구파발,연신내,불광,녹번,홍제,무악재,독립문,경복궁,안국,종로3가,을지로3가,충무로,동대입구,약수,금호,옥수,압구정,신사,잠원,고속터미널,교대,남부터미널,양재,매봉,도곡,대치,학여울,대청,일원,수서,가락시장,경찰병원,오금
2020-01-01,12357,8477,8963,7328,11109,1301,19691,10804,7830,19648,1651,22723,42536,19343,10829,17007,3726,7811,26028,24215,10226,7229,1,12296,11721,7581,9043,19898,28281,4728,74393,5276,29687,22455,6490,3510,9730,1220,7564,6439,18304,7295,5505,4425
2020-01-02,29079,21753,17536,18879,23623,2972,41530,24100,19772,38429,4086,45957,85197,38540,28428,37982,8862,16279,48962,54071,27127,26468,1,21649,28765,17991,20881,79894,75238,13401,107044,27487,70104,90098,25632,12400,27350,3927,21047,22415,37953,20624,18279,13698
2020-01-03,29648,22482,19905,19446,25173,3227,43770,25229,20284,40315,4361,47528,90717,40149,29912,39955,9133,17167,55034,57748,29346,28319,1,22369,30454,18751,21738,86742,83418,14189,126028,27967,75211,98203,26801,13081,29062,5235,22277,22769,42389,23131,18434,14220
2020-01-04,21027,15872,17685,12912,19602,2379,32449,19124,13820,29569,3148,35427,69868,32672,20005,30812,6379,14937,49020,43361,20462,14295,1,18383,21198,13320,16014,62603,63534,9282,135793,14020,57466,52775,12488,8368,21936,4212,13452,11727,31095,14888,9596,8933
2020-01-05,16037,10934,14229,8859,14629,1900,26762,14054,10763,22589,2298,27709,51168,24823,14160,21868,4483,11077,27815,26780,11692,8856,2,14839,16114,10220,11782,35986,36066,6453,107655,8053,38059,36824,8712,5226,13736,2811,9612,8966,23472,9504,6874,6687
2020-01-06,29310,22400,17325,18900,24192,3047,42584,24115,19838,39143,4219,46741,86008,39062,29408,38936,9071,15731,46365,52369,27224,27520,4,21594,30488,18306,21353,81655,75002,14400,106292,28675,71032,95556,27124,13175,28177,4257,21896,24003,39493,22147,19362,14153
2020-01-07,28819,21404,16447,18169,23163,2880,40249,23221,18964,37372,3988,44912,82686,37464,28967,37769,8942,15429,44208,51063,26783,26996,3,22186,29798,17712,20962,79508,73511,14062,103209,28097,68992,96923,26579,13282,28167,4082,21876,24321,38658,21334,18826,13903
2020-01-08,29903,22254,17984,19961,23696,3109,43305,24663,19983,38828,4407,47328,87596,39681,30120,39838,9212,16774,48273,54293,27418,27959,2,22230,30481,18516,21741,80893,75367,14236,105812,29553,71450,100628,27546,13336,28682,4326,22699,25032,40068,22529,18789,14714
2020-01-09,31051,22430,18259,19727,25420,3074,43298,25522,20326,39624,4453,48806,88474,40586,30214,40256,9382,16944,49788,55490,28309,27927,1,23709,31291,18590,21873,83407,78721,14151,110374,30018,74306,101977,27546,13565,28695,4359,22357,24744,41068,23143,18882,15218
2020-01-10,31031,23272,19961,20300,25954,3229,45097,25923,20563,40207,4498,48738,92472,41736,30645,41556,9399,17609,52189,56947,29387,28637,2,23874,31969,19165,22681,87397,84079,14829,132400,30771,81053,105288,27805,14032,29832,5862,22584,23967,44767,24368,19172,15477
