date,오이도,정왕,신길온천,안산,초지,고잔,중앙,한대앞,상록수,반월,대야미,수리산,산본,금정,범계,평촌,인덕원,정부과천청사,과천,대공원,경마공원,선바위,남태령,사당,총신대입구,동작,이촌,신용산,삼각지,숙대입구,서울역,회현,명동,충무로,동대문역사문화공원,동대문,혜화,한성대입구,성신여대입구,길음,미아사거리,미아,수유,쌍문,창동,노원,상계,당고개
2019-01-01,11247,10578,1739,22907,2856,7064,20929,8087,20217,4912,4040,3380,17274,25730,24333,11054,19970,7388,4258,4017,788,5461,1052,24493,19344,2561,6234,14004,3839,12088,18955,21794,70437,23947,25629,18727,47892,14220,23449,18649,27479,14124,38563,27881,27018,23664,18392,13551
2019-01-02,19246,16536,3241,28132,6591,17382,36063,16889,40371,9536,8784,8227,39222,56215,60500,38324,54877,30432,10253,4714,3669,18176,2828,52469,48106,4789,20031,37096,11000,32573,37770,67112,77500,69084,43423,48506,80516,29944,46517,46289,60193,33564,79598,66212,61280,48535,42309,24697
2019-01-03,19765,16113,3328,27878,6884,18172,36649,17896,41220,9648,9136,8387,40387,58598,62430,40144,56582,24825,10257,6323,4104,18552,2840,56312,49142,4979,20081,38048,11891,33957,37439,70137,78361,71550,45703,57533,85810,31315,48030,47479,61720,35125,81710,68177,63345,49520,43140,25644
2019-01-04,20817,17924,3378,28742,7112,18606,39900,18354,42671,10118,9308,8778,42742,60490,67550,40837,59260,28034,10613,5694,15965,19818,3208,61495,51677,5522,21265,40222,12505,35083,41397,70901,82170,73138,46779,57775,90003,31911,50380,48469,64564,35658,85020,69420,66666,52955,44468,26340
2019-01-05,17592,13743,2758,24324,6410,13855,35475,14207,33740,8210,6993,5984,32569,43190,52123,22146,44240,14889,7763,7675,27896,12089,2236,50262,38472,3898,19115,22994,7415,22451,28923,58426,74574,39030,36748,44482,86833,25280,40359,34748,51584,26595,64451,50459,49313,42552,32309,20863
2019-01-06,12793,11937,2183,24790,3650,9663,26190,10118,25782,6109,5361,4701,23393,32998,36113,14730,28658,17561,6220,6661,36107,8673,1753,34803,26975,2721,14810,16594,5774,19611,20928,26864,59300,23845,29456,21890,64518,19499,30282,26067,37950,19805,48142,37568,36927,32606,23850,17631
2019-01-07,19695,16879,3292,28974,7054,17831,36993,17967,41236,9824,9035,8419,40209,58323,61300,39563,56743,26534,9840,3871,1926,18371,3047,55650,48726,4928,18947,37257,11742,33004,37113,68237,70912,69943,41954,54537,77748,31461,47821,48169,61208,35443,80840,68560,62295,49400,43215,25680
2019-01-08,19312,16374,3316,28273,7035,17917,37304,17873,41459,9772,8869,8717,40423,58796,62636,40302,57494,25872,10553,6033,2142,18566,3033,57726,49500,4778,21150,38097,12190,34007,38262,69740,70749,71228,42728,55183,87312,31425,48704,48652,62070,35709,81964,69074,63150,49889,43861,26291
2019-01-09,19346,16308,3128,27917,6771,17901,37133,17689,40486,9556,8920,8326,40266,57481,62908,39223,57042,31496,10332,4720,4625,18665,3145,56905,49211,4665,20312,37402,12317,33093,37864,64593,68507,69441,42940,52953,87240,31189,47483,47460,60733,34919,80770,67448,62416,49316,42548,25333
2019-01-10,19662,16812,3455,28013,7990,18114,38518,18218,41967,9582,9212,8545,41044,58704,63732,40843,59226,25355,10412,5780,4746,18994,2823,57531,50087,5188,21209,39085,12621,34379,38437,68130,70883,72319,43879,54371,86777,31778,48704,48123,62306,35438,81992,68860,64139,50523,43636,25914
2019-01-11,21145,18314,3629,29633,7282,18665,41462,19353,44242,10159,9525,8967,43346,61769,68217,41303,61204,26480,10914,5954,16007,20082,3095,63745,53005,5235,21561,40657,12894,35254,43007,69608,75082,72438,46424,56168,93230,31959,50645,49064,65214,36124,86062,70483,67894,54164,44436,27023
2019-01-12,18150,14520,2862,27499,5977,14925,36789,14597,35738,8452,7223,6086,33225,45970,53911,23292,40419,16420,8095,8953,27619,12736,2652,53961,40457,4034,21302,24406,8102,24641,30822,58887,75551,40067,38284,46095,94069,26498,41455,35614,53685,28283,66162,51745,50703,44078,32989,22128
2019-01-13,13504,13577,2305,28542,3761,10689,26528,10688,26544,6402,5512,4838,23485,34856,36250,14843,29343,17842,6055,6500,36145,8703,1631,37500,27030,2718,15686,17286,5777,20018,22421,27832,62446,25557,31021,23041,68066,18893,30430,25238,37520,20115,49089,38243,37262,32566,23680,17283
2019-01-14,19413,16658,3310,28777,6829,18077,36255,17362,40484,9445,8884,8162,38835,57735,60121,39293,55351,27475,9788,3184,1960,18183,2700,54832,47886,4531,18458,36434,11473,31749,38300,64824,69976,69163,41642,53203,75869,30361,46499,45906,59862,33821,79509,66455,61402,48023,42211,24963
2019-01-15,19421,16068,3250,27727,7793,17614,36359,17919,40544,9217,8991,8340,39814,58087,61103,40137,56489,25859,10238,4857,2169,18547,2834,57631,48817,4502,20580,36788,11987,33254,38208,65802,68995,70632,42218,53468,86096,32777,47805,47240,61287,34438,80992,68311,62844,49194,43030,25643
2019-01-16,19223,16573,3241,27499,6906,18042,37111,18003,40494,9220,8948,8295,40446,58288,62961,40502,56882,31875,10652,5244,4956,18706,2744,58251,49670,4797,20845,37620,12137,32601,38365,66224,71353,70227,43652,53747,87798,31664,47840,47435,61287,35051,81127,67939,63784,50029,43349,25512
2019-01-17,20298,16858,3382,27844,6933,18524,37551,18212,41738,9532,9225,8583,41335,59167,63786,41128,58472,25447,10527,6329,4945,19240,2822,59428,50775,5159,20770,37956,12324,33852,39288,68456,73752,72185,44281,54821,88340,31947,49642,48093,62378,35630,82556,68899,64927,50081,43676,25833
2019-01-18,21159,19622,3533,29593,7290,18696,42170,18903,43186,10068,9445,8544,43425,61563,67634,41389,60218,26642,11106,6698,16994,20114,3129,64563,52524,5100,21582,40810,12820,34632,43228,70144,76915,72414,46386,56166,92486,32220,50644,48976,65241,35607,86713,70079,67617,53865,44648,27070
2019-01-19,18485,14922,3058,27597,5653,15750,38360,14569,35035,8469,7190,6110,32895,45909,52536,23626,40075,15009,8172,8551,28875,12439,2624,53817,40122,3978,20231,24481,8298,23476,30563,55935,72825,40132,36836,44400,91184,25509,41096,35444,52066,26491,65978,51320,50856,43343,32418,21747
2019-01-20,13557,12678,2181,27635,5129,10931,28533,10506,26650,6178,5519,4759,23839,35283,37515,15356,29519,18351,6100,6793,37124,9133,1774,38038,27537,2692,16588,17562,6000,19884,22924,28083,62060,24429,30496,22583,68020,18953,31042,26051,38650,20361,48912,38372,38091,33233,24278,17550
2019-01-21,19494,16810,3314,28476,6872,17904,37732,17625,40738,9504,9149,8314,39753,57988,59722,39984,55543,25362,9915,4120,2072,18187,2600,55631,48579,4942,18760,36677,11552,31381,37691,66701,72382,68999,42158,53808,76982,30520,46944,46703,60157,34128,80604,66983,62740,48741,42440,25464
2019-01-22,19702,16733,3417,28068,7045,17876,37557,18108,41142,9585,9269,8532,41360,59450,62566,40606,57480,26022,10508,6137,2244,18695,2773,57538,49236,5177,20723,37203,12443,32685,39033,68988,74431,70661,42986,54973,86249,31909,48183,47505,61828,34563,81442,68899,64990,49488,43438,26411
2019-01-23,19896,16717,3335,28619,6929,18421,38499,18356,41346,9579,9588,8555,42126,59532,64349,40519,58401,31955,10917,5499,5996,19022,2780,58693,50373,4912,21346,37695,12494,33221,39506,68225,76180,70836,44753,54912,88737,31778,48568,48245,62477,35130,83103,68788,65973,50827,44091,26440
2019-01-24,19392,16419,3307,27411,7078,18294,36852,17741,41317,9408,9275,8625,41982,59384,62405,41000,58310,25724,10760,6118,5355,18698,2800,58875,50350,5253,21414,38089,12911,33887,40074,68307,78330,71801,45887,55549,88167,32011,47733,48000,62212,35098,81918,68846,65738,50074,44544,26376
2019-01-25,20642,17834,3466,28800,8566,18563,38686,18644,42860,9879,9723,8826,43249,61631,66878,41913,60661,26463,10958,6133,17135,20277,3127,64396,53487,5173,21865,41115,13138,34957,44242,70003,83250,74010,47332,55552,92957,33447,50815,49227,65654,35772,85626,70369,69120,52825,45832,27305
2019-01-26,17940,14499,2722,25573,5472,14705,35223,14517,34457,8059,7185,6228,33300,44984,53065,24009,40730,16211,8265,10292,28723,12674,2678,52558,39864,4116,20645,25170,8279,24523,31967,58263,83700,41852,40086,45091,89793,24827,42789,35814,53600,26657,66379,51406,52484,43592,33385,21500
2019-01-27,14041,12437,2312,26639,3918,10435,27513,10262,26601,6410,5487,4801,23933,34781,37390,16187,30445,15060,6681,9080,38964,8867,1736,37384,28693,2996,16117,18002,6445,20656,22841,29025,66535,25354,31658,22340,69873,19731,30738,25898,39179,20333,49912,38614,39589,32700,24496,17476
2019-01-28,19465,16468,3232,28209,6889,18132,36157,17255,40660,9461,9147,8385,40501,57875,61134,39656,56333,26342,9908,3978,1926,18300,2716,55957,49873,4867,19398,37851,11717,32248,39330,67924,74634,69843,43505,54672,79584,30833,47189,46621,62392,34718,81503,67845,64945,48821,43393,25956
2019-01-29,19200,16214,3345,27682,6930,17997,36274,17554,41769,9353,9138,8611,40594,58328,62788,40614,57737,26237,10398,5577,2220,18818,3107,57284,50112,5085,21434,38215,12318,32924,39343,67470,73335,70193,43181,54534,84396,32191,49247,47501,62995,36364,81806,68811,65556,49183,44370,26419
2019-01-30,19475,16536,3267,27731,8265,18171,37633,17616,41167,10040,9430,8527,41800,59088,63778,41521,58348,32179,10639,5380,6785,19096,2873,57565,51352,5127,21878,39165,12608,33950,39451,67538,71024,70959,45782,54141,92800,31998,48510,47884,63297,35581,83220,69739,66699,51308,44411,26302
2019-01-31,18959,16023,3360,27000,6874,17844,37131,17700,40056,9345,9129,8483,40503,57868,63220,40489,57352,24965,10302,4885,5688,18940,2927,56968,50284,4866,19797,39145,12140,33125,39568,65455,67863,68981,43189,52563,86218,31979,48442,47601,63324,35909,81925,68779,66210,50048,43923,26115
2019-02-01,19629,17322,3406,29459,8089,17899,39600,17422,41358,9780,9300,8218,42333,58707,65824,39483,57111,24613,10266,4563,18367,18800,3079,57428,52023,5054,20066,39901,11357,32937,40407,63319,67887,65943,41541,50679,80820,31801,49776,47476,64695,35415,84932,68850,68039,53020,43807,26254
2019-02-02,14878,13293,2548,28175,4254,10343,30354,12166,29373,7207,6334,5313,28687,38341,43622,17604,38572,12292,6821,7131,32356,9848,1950,38601,34631,3579,15170,21589,5662,18173,25432,45549,63192,29514,31080,32954,63031,21344,35161,29476,46615,23506,58431,44180,48587,38552,29034,19794
2019-02-03,9654,10388,1663,28839,2853,6899,20396,7995,20409,4940,4175,3501,18292,27290,27559,11555,21753,14323,4509,2803,36905,6333,1312,24757,22411,1847,11239,14794,3950,13944,19026,20812,50163,17168,23531,15196,44861,13818,22824,19748,31409,16555,40470,30635,33001,26440,19469,13062
2019-02-04,10294,10346,1761,30151,2870,6235,17811,7303,18884,4552,3517,3154,15968,23712,20513,9488,15333,5204,3639,6669,808,4477,1058,19143,18608,2373,10932,13138,3066,8603,18133,21894,58338,18838,21077,14705,32246,11314,18722,16805,26271,13965,34439,26079,25924,20568,17031,12328
2019-02-05,10381,11379,1918,30518,3286,7364,17873,7535,21867,4719,3475,3262,13761,26237,17561,8789,16572,4546,3623,6336,726,4325,1405,19000,15236,3051,5296,12727,2994,8487,16935,12109,53876,22416,16583,10383,27559,12264,18011,18308,26326,15445,38063,29032,24692,20164,19191,13589
