date,방화,개화산,김포공항,송정,마곡,발산,우장산,화곡,까치산,신정,목동,오목교,양평,영등포구청,영등포시장,신길,여의도,여의나루,마포,공덕,애오개,충정로,서대문,광화문,종로3가,을지로4가,동대문역사문화공원,청구,신금호,행당,왕십리,마장,답십리,장한평,군자,아차산,광나루,천호,강동
2020-01-01,7919,5783,14392,7436,4405,16272,12658,25761,29620,10829,14780,21004,4372,2231,9018,3096,9566,7006,9086,8417,5077,2332,9897,28567,20346,2988,1873,3312,5758,6771,5586,5712,13183,15904,11273,21740,13242,21010,17667
2020-01-02,14976,12208,16693,14967,15468,42513,32928,61982,63238,26952,41298,55282,15826,8493,22092,8295,60424,16896,32309,32509,16506,10055,42522,78605,33907,13382,7675,8492,14066,17445,10781,12311,34146,41152,24610,29255,27982,42582,41897
2020-01-03,15730,12598,17317,15810,16156,45294,34267,64960,65840,27738,43109,58573,16203,8868,23818,8499,62310,17878,34275,34856,16880,10493,44021,89707,38425,14104,7791,8839,14568,17767,11879,13023,35181,43555,26377,30657,29100,46721,43133
2020-01-04,10589,8590,16132,12191,8085,30187,23548,45033,47426,18484,27707,41124,7577,4125,18398,5197,19910,9589,17345,17865,8712,4362,19035,65655,35280,8792,2949,5664,9764,12431,9247,9241,23430,27401,19538,25374,23362,38962,32178
2020-01-05,8724,6497,14432,9049,5380,19423,16368,32316,36018,13535,19469,28466,5625,2904,12492,3533,12932,8197,11254,10287,6366,2935,12298,33825,21834,3660,1908,4013,7095,8703,6385,6865,17218,19133,14397,21746,17985,29227,22164
2020-01-06,15187,12543,16647,15531,16308,44249,33490,63863,64990,27689,42729,55688,16389,8687,22044,8698,63298,16244,34919,33900,17151,10819,44528,79237,33055,13610,7681,8774,14395,17946,10925,12933,34872,41469,25039,29779,28341,41298,43138
2020-01-07,14759,11999,16068,14605,15985,42845,32807,60781,62865,26968,41744,56002,16104,8550,21290,8489,64272,16011,34317,34167,16777,11118,44740,80189,31135,13014,7713,8790,14271,17862,11089,12873,34197,40308,24935,29156,28009,40626,42926
2020-01-08,15503,12695,17483,15734,16457,45833,34393,64534,65201,28209,43386,57473,16200,8960,23270,8672,64232,16945,34749,34268,17070,11206,44607,82493,34536,13914,7708,9226,14705,18837,11656,13219,35509,43073,26306,30690,29488,43345,43360
2020-01-09,15716,12763,17598,15945,16709,45671,33974,65198,65980,28218,43661,57549,16428,8914,22909,8573,64437,16775,35196,35088,17098,11232,44401,83249,35885,14229,7670,9134,14535,18776,11701,13305,35432,43289,26094,31003,29555,44384,43838
2020-01-10,16304,12865,18567,16362,16905,46689,34561,65978,67535,28016,45006,59922,16640,9032,24273,8917,64895,17765,36212,35999,17342,10968,44684,85606,38452,14337,7594,9478,14866,18900,12076,14065,35893,44600,27570,31948,31122,46934,44457
