date,상일동,고덕,명일,굽은다리,길동,강동,둔촌동,올림픽공원,방이,오금,개롱,거여,마천
2020-01-01,11458,7588,7282,9452,7193,17667,7609,3252,6461,2506,5418,6575,5399
2020-01-02,31234,21326,18918,19717,16622,41897,18675,8344,16393,7801,15283,16962,11117
2020-01-03,31926,21574,19973,20464,17598,43133,19982,8923,17184,8038,15465,17507,11493
2020-01-04,20646,13531,13327,15503,12793,32178,14309,7398,12385,4617,10336,11777,8945
2020-01-05,13986,9063,10512,11910,8758,22164,12322,5053,9023,3379,7740,8536,7217
2020-01-06,31921,21620,19956,20076,17486,43138,19997,8805,16659,8189,15690,17628,11400
2020-01-07,31045,21471,19450,20150,16840,42926,19522,8366,16806,7956,15445,16619,10712
2020-01-08,32591,22321,20393,20862,17712,43360,20397,9082,17552,8128,16115,17429,11369
2020-01-09,33105,22086,20311,21254,17893,43838,20552,9225,18133,8359,15982,17263,11566
2020-01-10,33014,22372,21131,20953,18409,44457,20318,9367,18489,8331,16403,17844,11866
2020-01-11,23636,15935,14397,16709,13441,34025,14983,6984,12854,5430,11308,12471,9478
2020-01-12,16316,9225,11044,11905,9455,24591,12369,4338,9339,3553,7716,8573,7461
2020-01-13,33406,21586,20059,20553,17830,43601,19362,8826,16811,8089,15589,16753,11692
2020-01-14,32675,21960,20277,21067,17414,44415,19919,8787,17083,8086,15843,17280,11788
2020-01-15,33338,22420,20654,20929,18201,43699,20343,8950,17640,8313,15961,17287,11737
2020-01-16,33267,21863,20217,21078,17846,44553,19635,8828,17729,8310,15952,17498,11584
2020-01-17,33071,22134,20611,21268,18869,44429,20697,10337,17882,8168,16171,17818,11842
2020-01-18,21749,14027,13952,16048,13835,32664,15561,10377,13232,5151,11202,12304,9838
2020-01-19,14747,9134,10752,12254,9382,23207,12838,5311,9301,3603,7722,8509,7186
2020-01-20,32941,21484,20246,20662,18314,43645,19395,9054,17244,8225,15724,17059,11603
2020-01-21,33262,21884,20590,21003,18032,44010,19832,9187,17392,8303,15967,17079,11464
2020-01-22,33414,21772,20164,21047,18262,43090,20061,8999,17445,8434,16444,17055,11640
2020-01-23,30507,20428,18715,19827,17031,40616,18252,8075,16068,7239,14228,15681,10375
2020-01-24,11013,6418,6507,8372,6798,15926,7205,2823,4937,2273,5135,5954,5225
2020-01-25,8855,4748,5419,7159,5492,14464,5277,2192,3974,1934,4413,5495,4580
2020-01-26,11583,7076,8470,10198,7166,18276,9051,3412,6169,2646,5618,6857,6059
2020-01-27,12281,8113,7702,10372,7944,19430,8351,3605,6596,2827,6234,7057,6302
2020-01-28,29407,19692,18111,18873,16399,39247,17795,8092,15655,7498,14069,15490,10551
2020-01-29,32054,20337,19566,20063,17016,41572,18849,8614,16628,8044,14954,16512,11130
2020-01-30,31912,20641,19354,19502,16826,41370,18900,8836,16903,8243,15220,16634,11221
2020-01-31,32055,20544,19390,19682,17060,41807,18881,8715,16526,8071,15240,16737,11067
2020-02-01,17522,11326,11191,13393,11088,27307,12488,5384,10582,4215,9327,10168,7819
2020-02-02,12164,7447,8908,10234,7924,19068,10560,4044,8146,2917,6650,7192,6300
2020-02-03,30974,19501,18417,18932,16322,39659,17939,8268,15616,8089,14283,15683,10906
2020-02-04,30854,19500,18478,18776,16176,40230,18278,8504,15785,8029,15067,15895,10929
2020-02-05,30136,19001,17786,18612,15644,38878,17794,8183,15366,7725,14326,15535,10269
2020-02-06,29621,18627,17262,18008,14964,38755,17309,8205,14801,7671,14074,15027,10019
2020-02-07,30176,19274,17969,19528,16132,39358,18229,9537,15039,7855,14162,15465,10217
2020-02-08,16826,10460,10461,12496,10862,26552,11570,5781,9448,3728,8499,9502,7547
2020-02-09,11974,6964,8483,9532,7780,18522,10118,4643,7742,2834,5906,6789,6212
2020-02-10,30746,18779,17851,18191,16275,39178,17311,7967,15179,7612,13488,14979,10405
2020-02-11,31503,18872,18397,18545,15960,40427,18163,8082,15546,7595,14060,15614,10598
2020-02-12,30426,18378,17861,18773,16205,39587,18010,7699,15484,7426,13817,15158,10136
2020-02-13,31807,19034,18289,19010,16249,40584,18518,8033,16020,7697,14112,15472,10532
2020-02-14,32130,19794,19038,19338,17282,41272,18942,8360,15910,7794,14094,16126,10680
2020-02-15,19508,11777,11804,14580,11752,29527,12844,5548,10786,4731,9789,10479,8457
2020-02-16,12911,7787,9087,10678,8250,20140,10535,4188,7840,3141,6421,7250,6116
2020-02-17,32255,19644,18694,19177,16616,40886,18060,8391,16413,7765,14511,16240,10600
2020-02-18,31892,19043,18425,18846,16226,40000,18098,7870,16142,7666,14971,15438,10474
2020-02-19,32340,19671,18656,19506,16277,40859,17846,7882,16207,7644,15135,16023,10640
2020-02-20,31926,18342,18001,18783,15561,39889,17488,7742,15869,7697,14003,15794,10536
2020-02-21,30799,18078,17570,18348,15884,38617,17252,7400,15470,7122,13557,15248,10478
2020-02-22,15354,9337,9316,11665,9787,24448,10331,3891,8965,4110,8080,8872,7048
2020-02-23,9929,5924,6246,7666,6385,15870,7364,2695,6183,2433,4956,5743,5231
2020-02-24,27576,15120,14573,15589,13259,33783,14419,6027,12303,6523,11274,13113,9161
2020-02-25,25456,13136,13092,13797,12058,31097,13043,5062,11147,6073,10418,12126,8129
2020-02-26,25030,12629,12042,13284,11998,30706,12880,4969,10531,5940,10263,11751,8295
2020-02-27,24628,12376,11778,13088,11630,30062,12673,4956,10376,5891,9829,11605,8295
2020-02-28,23913,11967,11469,12951,11625,29092,12480,4594,10276,5754,9709,11204,7951
2020-02-29,11501,5927,5501,7637,6942,16045,7085,2733,5290,2480,5087,6342,5348
2020-03-01,7312,3834,3462,5089,4556,10625,4551,1714,3482,1586,3309,3967,3884
2020-03-02,24490,12546,11780,13066,11646,29206,12614,4910,10470,6012,9813,11521,8121
2020-03-03,24703,12584,11804,13104,11626,29361,12522,5057,10590,5851,9821,11626,8353
2020-03-04,24630,12474,11819,13264,11782,29493,12520,4943,10534,5603,9847,11451,8122
2020-03-05,24691,12723,11838,13345,11664,29492,12611,5091,10730,5896,9734,11463,8296
2020-03-06,25456,12987,12201,13620,12236,29803,12870,5356,10863,5807,10102,11753,8399
2020-03-07,12827,6872,6609,8634,7897,17552,7643,3133,6043,2632,5571,6751,5763
2020-03-08,8502,4522,4295,5721,4961,12095,5185,2305,4359,1832,3850,4486,4336
2020-03-09,26692,14222,12980,14293,12419,30892,13200,5482,11423,6205,10339,12008,8658
2020-03-10,25660,12913,12370,13554,11869,30373,12933,5181,11075,5965,10062,11566,8018
2020-03-11,26549,13471,12822,14171,12301,30878,13301,5582,11390,6065,10396,12025,8529
2020-03-12,25969,13153,12274,13933,11925,30298,12658,5442,11127,6027,9913,11673,8448
2020-03-13,26239,13244,12641,13838,12411,30782,13242,5547,11086,5961,10141,11875,8254
2020-03-14,13234,7362,7055,9119,8184,18571,8181,3333,6568,2797,5864,7021,5958
2020-03-15,8330,4768,4459,5939,5184,12209,5310,2021,4549,1819,3739,4548,4306
2020-03-16,26779,13743,12881,14145,12268,31235,13156,5557,11320,6082,10080,11941,8448
2020-03-17,26726,13377,12572,13837,12217,31059,13208,5421,11249,6017,10059,11846,8296
2020-03-18,27358,13561,12962,14348,12500,31799,13350,5783,11529,6017,10366,12214,8582
2020-03-19,25931,12978,12263,13601,11769,30539,13038,5158,11139,5888,9838,11419,8088
2020-03-20,27724,13994,13285,14625,13215,32335,13953,5810,11809,6170,10440,12378,8546
2020-03-21,14069,7302,7382,9161,8263,18938,8295,3628,6747,3031,6069,7065,6135
2020-03-22,9157,4888,4851,5969,5373,12783,5712,2616,4739,1975,4084,4697,4691
2020-03-23,27643,13780,12908,14265,12369,31596,13410,5719,11276,6210,10345,11935,8557
2020-03-24,27478,13451,12868,14255,12026,31859,13408,5915,11245,6178,10378,12104,8654
2020-03-25,27758,13678,13290,14589,12577,31518,13696,6089,11514,6200,10705,12134,8802
2020-03-26,27517,13502,12881,14265,12075,31342,13175,5588,11436,6175,10266,11851,8514
2020-03-27,27462,13767,13186,14578,12708,31609,13664,5827,11565,6180,10460,12343,8459
2020-03-28,14145,7740,7470,9540,8278,19312,8676,3858,6940,2996,6146,7215,6325
2020-03-29,9617,5144,5099,6575,5474,12874,5630,2954,4918,1920,4313,4742,4812
2020-03-30,28366,13918,13393,14368,12736,31988,13353,5870,11514,6117,10639,12175,8610
2020-03-31,28335,13771,13197,14501,12445,32028,13544,5880,11710,6100,10666,12347,8752
2020-04-01,28158,13639,13339,14432,12673,31713,13494,5931,11623,6131,10395,12432,8585
2020-04-02,28189,13742,13278,14307,12336,32072,13390,5968,11587,6271,10338,11990,8640
2020-04-03,28727,13952,13588,14556,12975,32438,13686,5941,11981,6228,10676,12332,8817
2020-04-04,14892,7920,7876,9372,8444,19416,8487,3949,7166,2971,6188,7380,6283
2020-04-05,9770,5171,5238,6426,5413,12991,5758,2805,4828,2035,4257,4760,4536
2020-04-06,29620,14489,13836,14531,12657,32768,13852,5917,11898,6175,10865,12696,8863
2020-04-07,29829,14444,13646,14614,12738,32838,13899,5742,12025,6277,10965,12835,8927
2020-04-08,29781,14563,13936,14832,12821,32834,13989,6064,12044,6279,10898,12724,9016
2020-04-09,29821,14466,13642,14651,12680,32957,13901,5950,12060,6293,10756,12685,9056
2020-04-10,29999,14497,14163,14987,13282,33179,14223,5983,11982,6540,10974,12840,8997
2020-04-11,15771,8144,8217,9734,8725,20139,8858,3923,7564,3340,6482,7719,6635
2020-04-12,10045,5147,5505,6562,5706,13488,6062,2531,5254,2055,4344,5074,4800
2020-04-13,30544,14981,14117,14798,13089,33430,13956,6149,12054,6531,11025,12984,9171
2020-04-14,30946,15178,14428,15148,13460,34349,14313,6334,12094,6620,11329,13298,9420
2020-04-15,14100,7089,7241,8888,7942,17512,7763,3686,6496,2888,6015,6972,6020
2020-04-16,30684,14947,14204,15078,13165,33932,14193,6495,12031,6730,11038,12834,9247
2020-04-17,30285,14625,13985,15134,13539,34150,14209,6178,12091,6520,11082,12782,8790
2020-04-18,17342,9172,8909,10692,9460,22398,9560,4505,7986,3299,7243,8206,7210
2020-04-19,10560,5607,5723,7144,5955,14003,6112,2579,5391,2126,4365,5059,4817
2020-04-20,31528,15329,14945,15436,13725,35535,14473,6182,12235,6784,11167,12998,9273
2020-04-21,32181,15753,15295,15993,14035,36443,14704,6529,12589,6897,11541,13402,9558
2020-04-22,31897,15421,15190,15830,13982,36543,14709,6271,12638,6741,11323,13213,9340
2020-04-23,32329,15639,15317,15866,13910,36816,15304,6539,12784,6801,11487,13338,9457
2020-04-24,33427,16098,16096,16488,15023,37626,15839,6856,12991,7150,11950,13899,9749
2020-04-25,18411,9369,9207,10999,10110,23609,10258,4306,8693,3642,7424,8347,7465
2020-04-26,12270,6141,6682,7774,6638,16121,7281,3340,6312,2543,5486,5955,5945
2020-04-27,33301,15882,15770,16038,14631,37078,15207,6873,13017,7102,11816,13602,9643
2020-04-28,33688,16411,15889,16431,14359,38116,15467,7068,13104,6927,11936,13856,9912
2020-04-29,34261,16710,16381,17152,15014,39194,15931,7201,13415,7213,12225,14199,10263
2020-04-30,17259,8415,8227,10248,8668,20475,9134,4329,7080,3231,6394,7423,7220
2020-05-01,18518,9506,9781,11368,10423,21803,10403,4912,8163,3743,7450,8519,7097
2020-05-02,17003,9233,8810,10364,9214,21730,9379,4145,8142,3171,6800,7704,6721
2020-05-03,12657,6514,6774,7908,6656,16491,7458,3136,6472,2877,5486,6117,5487
2020-05-04,27929,14052,13772,15101,14003,33095,13713,6390,11101,5891,10628,12359,8927
2020-05-05,14796,7378,7231,9202,7800,18541,8303,3781,6384,2679,5852,6993,6179
2020-05-06,35086,16786,17133,16971,15602,39831,16136,7338,13852,7390,12395,14578,10325
2020-05-07,35724,17177,16921,17267,15532,40049,16401,7357,14025,7367,12518,14511,10248
2020-05-08,35900,17120,17323,17838,16246,40676,16678,7478,14398,7419,12846,14891,10308
2020-05-09,17086,9200,8787,10928,9622,23884,9666,3677,8486,3638,7664,8641,6462
2020-05-10,13073,6570,7279,8164,7067,17531,8141,3224,6852,2683,5493,6483,5800
2020-05-11,35215,16701,16512,16808,15467,39602,15708,7449,13479,7279,12506,14275,10181
2020-05-12,34511,16817,16622,16725,15015,39557,15934,7261,13467,7212,12438,14170,10046
2020-05-13,34627,16552,16605,16761,15230,39739,16104,7403,13577,7211,12454,14556,10274
2020-05-14,34646,16476,16372,16714,14944,39003,15887,7046,13282,7164,12216,14202,10154
2020-05-15,33457,16008,16048,16492,14915,38620,16172,6737,13604,7209,12223,13801,9732
2020-05-16,18509,9770,9526,11163,10076,25064,10870,4530,9057,4184,8217,8761,7171
2020-05-17,13162,6771,7158,8311,6875,17783,8064,3598,7007,3076,6179,6471,6188
2020-05-18,33884,15923,16251,16390,14760,39057,15402,6975,13125,7153,12267,13939,9695
2020-05-19,33636,16164,16083,16465,14912,38023,15556,6855,13255,7218,12239,13847,9585
2020-05-20,35554,17267,17119,17406,15395,40425,16412,7871,14013,7381,12982,14707,10715
2020-05-21,35575,17186,16923,17050,15284,39546,16405,7765,13705,7585,12721,14693,10541
2020-05-22,35636,17229,16931,17440,15701,39931,16624,7855,13850,7686,13114,15052,10468
2020-05-23,20467,10450,10397,12166,10898,26831,11496,5465,9651,4617,9323,9448,8086
2020-05-24,12506,6522,7078,7923,6877,16692,7903,3326,7180,3081,5417,6687,5352
2020-05-25,35739,17484,16837,16919,15612,39133,16228,7791,13695,7597,12921,14547,10426
2020-05-26,35729,17166,16866,17168,15292,40213,16526,7782,14114,7549,12924,14979,10492
2020-05-27,36198,17852,17264,17136,15714,39954,16604,8279,14315,7608,13391,15380,10759
2020-05-28,35767,17148,16709,16874,15013,39274,16413,7964,14053,7408,13212,14673,10609
2020-05-29,35924,17395,17050,17070,15985,39542,16841,8105,14252,7598,13129,15206,10728
