date,봉화산,화랑대,태릉입구,석계,돌곶이,상월곡,월곡,고려대,안암,보문,창신,동묘앞,신당,약수,버티고개,한강진,이태원,녹사평,삼각지,효창공원앞,대흥,광흥창,상수,합정,망원,마포구청,월드컵경기장,디지털미디어시티,증산,새절,응암,역촌,불광,독바위,구산,응암
2019-01-01,7636,8821,4982,11468,6928,4636,10371,7708,10527,6565,2622,9871,5963,2945,2122,9581,31606,6670,5367,5292,6287,6848,12487,15616,14097,11653,13631,9717,10211,12308,17645,4121,6565,3334,6244,17645
2019-01-02,20879,23700,11993,27640,17485,12241,26119,18562,25515,15004,7171,17608,18238,8231,5043,19107,29131,10849,12631,14682,18232,20536,21425,29667,29886,29710,10554,31772,21186,27314,38197,9081,10712,6365,14933,38197
2019-01-03,21298,24568,12566,28802,17723,14447,26898,19560,26719,15767,7580,19904,21459,8739,5227,18023,30890,11705,13247,15571,18836,21973,22783,31511,31343,30316,10854,32133,21561,27962,38981,9499,10916,6677,15167,38981
2019-01-04,21879,24561,12928,29037,17949,12863,27912,19950,26675,15830,7518,20004,21739,9166,5532,19185,39382,13046,14161,15911,19296,21747,27991,34118,33159,31417,11127,32811,22299,28708,39875,9764,11404,6567,15517,39875
2019-01-05,13550,16243,9396,20488,12102,8407,18726,12973,17329,11239,4528,19200,15134,5777,3570,16695,45355,12973,10344,9741,12795,12135,22850,28183,26816,20014,10788,17073,16583,20146,29190,6796,9771,5185,11046,29190
2019-01-06,10324,11493,7104,14865,9165,6817,14831,9671,12797,8747,3415,14911,10105,3816,2586,11344,29895,9310,6680,7266,8595,10218,15666,20959,19271,14979,8242,12207,12704,15168,22047,5248,7697,3929,8131,22047
2019-01-07,21651,24822,12597,28774,17691,12440,27413,19492,27211,15528,7462,19348,20088,8989,5239,15357,26804,10771,11936,15196,19317,21173,21076,29960,30490,30575,10496,32067,21963,27751,38995,9607,10769,6461,15468,38995
2019-01-08,21705,24639,12730,29253,17891,12811,26803,19608,27223,15718,7521,18905,20553,9466,5268,18391,27590,11399,13474,15556,19112,21503,22378,31395,31917,31566,10227,32516,22313,28084,39389,9695,11015,6598,15376,39389
2019-01-09,21103,24066,12306,28743,17942,12716,26743,19526,26273,15499,7221,19067,20649,8965,5102,20187,27477,11064,13297,15512,18938,21122,22182,30433,31241,30733,9929,31949,21470,27836,38702,9415,11129,6619,15188,38702
2019-01-10,21921,24410,12833,28820,18068,14628,27072,19733,26066,15763,7463,19199,20213,9119,5294,18305,29574,11862,13899,15237,18996,21749,22790,31221,32403,31116,10513,32517,22045,28304,39629,9749,11018,6595,15263,39629
2019-01-11,21736,24850,13170,29693,18354,12990,27623,19930,26154,16141,7236,20080,20844,9288,5416,21995,39938,13659,14077,15656,19702,21922,25942,33953,33516,32281,11195,33084,22318,28729,40029,9678,11802,6638,15619,40029
2019-01-12,13674,15607,9544,21346,12908,8632,18418,13312,18329,11474,4635,20559,14960,6123,3546,19952,48212,14509,11316,10320,12639,12718,23243,28275,27873,20178,11540,17989,17014,20624,29761,6895,10015,4854,11411,29761
2019-01-13,9646,11516,7166,15422,9785,6953,12859,10048,14370,9079,3493,14900,10194,3855,2556,11805,31146,9540,7112,7593,9362,10033,15794,20438,19622,14898,6859,12363,12676,15177,21697,5520,7846,3646,8030,21697
2019-01-14,21354,23556,12224,27644,17935,12507,26903,19406,25665,15189,7001,18549,18678,8445,5132,16958,25800,10562,11658,14950,19675,20782,20579,28739,30063,30373,10220,32009,21568,27387,38314,9548,10600,6267,15129,38314
2019-01-15,21458,24529,12538,28604,17997,12784,27042,19792,27277,15296,7325,18441,20151,8642,5242,17732,26844,11168,13282,15099,19706,21517,22368,30318,31563,32075,10063,32195,21945,27873,39072,9699,11085,6462,15319,39072
2019-01-16,21639,24358,12636,28901,18037,12772,26701,19597,27267,15678,7112,18630,20848,8913,5312,20517,28047,11961,13085,15279,20396,21722,22719,29632,32367,31453,10481,32000,21847,27998,39259,9517,11114,6673,15267,39259
2019-01-17,22084,24510,12891,28900,18285,15134,26968,20358,27431,16335,7197,19708,19886,9119,5215,19977,30354,12148,13327,15374,20500,21646,23706,31104,32685,31125,11103,32654,22141,28486,39427,9744,11116,6678,15225,39427
2019-01-18,22267,24956,13192,29545,18181,13081,27340,19995,27620,16322,7127,20110,21007,9218,5449,23187,41029,13879,14302,15550,20202,21767,25858,33493,33560,32162,11475,32665,22484,29104,40204,9547,11396,6615,15933,40204
2019-01-19,13571,16666,9832,20758,12484,8270,18550,12889,16407,11458,4495,19564,15296,5913,3490,20230,47303,13800,11491,10216,13432,12588,23014,28320,27973,20319,10636,17913,17027,20713,29360,6732,9528,4903,11119,29360
2019-01-20,10573,11561,7210,15222,9455,7063,15724,9736,12919,9111,3603,15638,10439,4103,2589,13746,31717,9697,7394,7408,8842,10131,16328,21705,20728,15034,8046,12605,12927,15316,22203,5356,7894,3809,8492,22203
2019-01-21,21204,23686,12246,28002,17876,12518,27413,18819,24282,15622,6943,19030,18965,8836,5198,15090,27256,10647,11551,14651,19364,20879,20540,29322,30778,30400,10108,31563,21528,27210,38614,9321,9882,6447,15010,38614
2019-01-22,21800,23941,12517,28973,17634,12878,27355,18743,24592,16107,7077,19781,19790,8926,5165,18524,29360,11778,13376,15165,20189,21433,22175,30784,32659,31259,10787,32557,21882,28130,39251,9585,11186,6586,15333,39251
2019-01-23,21917,24135,12700,29183,18112,13169,26783,18477,24209,15755,7181,19132,20443,8901,5150,22068,29439,12241,13260,15503,20027,21497,21923,31356,32859,32352,10575,32551,21987,28250,39422,9695,11832,6576,15436,39422
2019-01-24,21638,24119,12980,29038,17974,14872,26845,19214,25038,15941,7161,19838,19466,8774,5330,18873,30180,12053,13662,15540,19814,22021,22339,31398,32918,31876,10775,32705,22008,28592,39729,9638,11243,6651,15141,39729
2019-01-25,22018,24382,13111,29705,18426,13398,27451,19170,25005,16314,7278,21593,21038,9033,5390,21759,40935,13685,14242,15987,20582,22316,26340,35071,34996,32298,11346,33018,22476,28714,40420,9819,11858,6731,15660,40420
2019-01-26,14266,17127,9886,21261,12602,8534,18987,14508,21956,12337,4721,19324,15600,6074,3698,19454,47864,13912,11700,10674,13043,12691,24348,30096,29499,22197,12172,17724,17111,21557,29657,7050,10588,5234,11086,29657
2019-01-27,10336,11445,7376,15463,9429,6909,12800,9608,12588,8980,3828,15629,10346,4019,2579,15543,33199,9679,7399,7361,8806,10351,16869,21795,20467,15315,7179,12242,12703,15573,21676,5395,8335,4063,7748,21676
2019-01-28,21563,23876,12359,28662,17864,12901,26827,18007,24485,15636,7230,19152,19154,8703,5083,15419,27536,10835,11787,15341,19531,21180,21246,29959,31916,31077,10823,32246,21819,27685,39371,9844,11330,6382,14785,39371
2019-01-29,21744,24039,12718,29013,17824,12916,26864,18694,25848,15911,7135,19115,19726,9041,5174,18751,27827,11670,13458,15761,19504,21706,21961,31031,32981,31309,11112,32465,22096,27830,39839,9735,11374,6517,14489,39839
2019-01-30,22026,24425,12819,29491,18642,13207,26853,18558,25439,15959,7175,19343,21355,8734,5261,20664,28424,12376,13560,15808,19985,21779,22385,31463,33085,32257,11721,32790,22125,28706,40741,9867,11865,6668,14833,40741
2019-01-31,22192,23770,12899,28864,18429,15541,26739,19150,24081,15978,7262,18954,19503,8523,5117,18010,28951,11592,13032,15790,19765,22619,22699,31375,32863,31371,10750,32415,22251,27971,39643,9581,11394,6697,14714,39643
2019-02-01,21679,23600,12366,28997,17554,12642,25872,18054,23365,15568,7046,19275,19329,8641,5146,19750,37110,12548,12450,15027,19513,20973,24175,31947,32912,31211,10939,31526,21868,28147,39256,9489,11754,6526,14812,39256
2019-02-02,11536,13129,7827,17993,10764,7569,15487,9999,12510,9165,4014,16394,11622,4975,3062,17189,38832,10919,7500,8337,10431,10653,17742,22823,24280,17229,9923,14052,14495,17713,25830,6030,9324,4569,9203,25830
2019-02-03,7869,8071,4802,11833,7410,5478,10254,6875,7695,6545,2826,8173,6176,3025,2009,9342,27344,6524,4928,5376,6160,7590,11786,15231,14954,11204,7256,9628,10174,12179,17663,4415,6507,2880,6265,17663
2019-02-04,6652,7115,4017,10507,6147,4591,9176,6031,6035,5394,2402,10360,4357,2607,1689,4519,24354,5358,4791,4336,4992,5169,8574,11397,14023,9454,7434,8448,9105,10690,15495,3474,5428,2616,5343,15495
2019-02-05,7127,7805,4577,11663,6935,5620,9576,6428,5702,6291,2562,8423,3768,2475,1858,6343,22657,4876,4617,4299,4700,4854,6648,10090,9667,10055,6729,8928,9688,11880,16019,4006,4308,2949,5842,16019
2019-02-06,8747,9951,5688,13167,7439,5411,11584,7392,9087,6932,2780,11872,6822,2953,2054,10812,25023,7626,5252,5543,6089,6284,14806,16243,14021,11865,8555,10511,11153,13514,18689,4321,6963,3457,6399,18689
2019-02-07,20590,22113,11650,27130,16441,13686,24582,17471,24470,15090,6784,18059,15868,7861,4902,19886,28539,10433,11507,14140,18307,19654,22286,29052,29777,29279,10102,29600,20962,26774,37647,9197,10972,6155,14531,37647
2019-02-08,21186,23086,12593,28514,17105,12638,26104,17804,24101,15803,7001,20324,19943,8417,5058,20435,36384,12469,12884,15272,18779,20246,24958,32557,31473,30709,10529,31200,21746,27633,38975,9430,11644,6442,14315,38975
2019-02-09,13646,15443,9256,20472,11853,8387,18470,12077,16640,10987,4536,20647,13943,5737,3483,19270,42305,12655,9777,9843,13097,11691,23790,28062,26410,19937,10629,16345,16311,19820,28367,6663,10023,4832,10023,28367
2019-02-10,10024,11315,6851,14878,9051,6757,12453,9112,12703,8838,3440,15771,9305,3868,2524,15629,29630,8844,6893,7402,8175,10183,16811,20988,18969,14910,6717,12061,12499,15079,21135,5215,8100,3718,7263,21135
2019-02-11,21959,24194,12727,28832,18043,13081,26882,18768,25916,15893,7316,20850,19760,8767,5389,15528,26946,10791,11547,15627,19816,21935,21424,30178,31422,31327,10854,32496,22154,28054,39874,9780,11324,6555,14650,39874
2019-02-12,22042,24488,12725,29277,18147,13065,27025,18843,25822,15940,7339,20970,20470,9023,5354,17066,27828,11691,13240,16238,19908,22079,23190,31132,33107,32335,11330,32624,22504,28681,40776,9882,11487,6489,14791,40776
2019-02-13,22241,24549,12968,29622,18568,13345,26986,19012,25531,16278,7405,20987,21249,9028,5157,17875,29378,12288,12935,15821,20048,22368,22914,31537,32887,32244,10432,32636,22380,28705,40547,10052,11973,6763,14637,40547
2019-02-14,21773,24474,13163,29209,18339,15276,27088,18956,25001,16591,7335,20014,20663,9032,5395,17896,31857,12764,13341,16076,20262,22614,23515,32653,33211,32047,11140,32470,22698,28809,40448,9935,11828,6603,15097,40448
2019-02-15,22194,26230,13781,30288,18389,13263,27548,19420,26221,16396,7359,20393,20907,9364,5473,18989,40131,13558,14099,16267,20738,22679,26997,34830,34005,34348,10717,34354,23105,29552,41532,10415,12304,6774,15793,41532
2019-02-16,14495,16941,10193,22161,13127,8991,19040,14816,17607,12134,4699,22838,15697,6115,3823,18468,48607,14269,12350,10821,14117,13042,25144,30437,29156,22433,11524,18483,18284,21666,30785,7249,10752,5168,11422,30785
2019-02-17,10563,12221,7516,15697,9743,7338,14026,10086,14093,9293,3933,17288,10138,4246,2709,12435,32322,10269,7615,7789,9189,10394,16879,22500,20769,16156,8962,12850,13592,16365,23284,5510,8400,3936,8132,23284
2019-02-18,21701,24514,12830,29339,18146,12910,27204,20436,27682,15796,7431,20687,20054,8935,5431,15572,28350,11271,12119,15414,19365,22090,21787,30595,31927,31867,10085,32394,22180,28243,39760,9692,11301,6450,14976,39760
