date,신내,봉화산,화랑대,태릉입구,석계,돌곶이,상월곡,월곡,고려대,안암,보문,창신,동묘앞,신당,약수,버티고개,한강진,이태원,녹사평,삼각지,효창공원앞,대흥,광흥창,상수,합정,망원,마포구청,월드컵경기장,디지털미디어시티,증산,새절,응암,역촌,불광,독바위,연신내,구산,응암
2020-01-01,1,7701,9085,5617,12347,7905,5118,10802,7673,10147,6933,2667,9494,7876,3061,2253,8336,29594,6588,5391,5331,6566,7035,12635,15211,14853,12048,10761,9849,10611,12428,18094,4190,5996,3210,1,6113,18094
2020-01-02,1,20551,23413,12512,27911,18517,14268,25825,18682,25257,14892,7111,16726,16860,8166,5075,17657,28642,11191,12816,14249,18556,21015,21950,28735,31359,29493,10272,32291,21719,27904,37553,9065,10053,6276,1,14674,37553
2020-01-03,1,20874,24161,13350,29674,18956,13379,26784,19401,25578,15723,7217,17887,19233,8480,5238,18910,37552,12445,13767,15109,19550,22037,27517,32308,33544,30851,10739,33225,22494,29010,39286,9404,10525,6391,1,15182,39286
2020-01-04,1,13225,15621,9680,20615,12566,8487,18473,12715,16780,11166,4376,17817,13201,5787,3533,19790,42845,12171,10635,9736,12253,12199,21706,27428,27815,20038,9882,16821,16390,20298,28706,6812,8726,4878,1,10634,28706
2020-01-05,1,9880,11650,7153,15463,9802,7319,15165,9419,12132,8885,3454,14410,9871,3730,2536,14548,28455,8789,6989,7046,8948,10089,15752,20223,20412,15205,8298,12208,12736,15714,21692,5188,7030,3940,2,7885,21692
2020-01-06,1,21197,23943,12638,29071,19584,13034,27224,19466,27717,15779,7518,18537,19644,8795,5090,15013,24713,10013,12036,15167,19957,21563,20658,28208,31437,31045,9720,32925,22304,28561,38844,9531,10068,6380,1,15453,38844
2020-01-07,1,21021,23860,12635,28735,18929,13001,25961,19334,27129,15682,7445,17714,20433,8527,5111,19252,23533,10311,13181,15135,19409,21203,21340,28795,31637,30721,8864,32276,22112,27843,37544,9450,9857,6317,1,14758,37544
2020-01-08,2,21360,24574,13219,29295,19584,13354,26793,19381,27294,16097,7306,18334,20916,8623,4972,18315,26752,10874,13172,15242,20059,21915,22305,29950,33168,31496,10319,33135,22547,29058,39339,9584,10728,6324,1,15053,39339
2020-01-09,1,21580,24538,13522,29556,19645,15619,27197,19488,27276,16389,7711,19323,19929,8850,5366,18576,28131,11772,13806,15808,20103,22117,23132,30848,34193,32185,10494,33605,22843,29089,39594,9821,10715,6788,3,15589,39594
2020-01-10,1,22107,24799,13695,30255,19815,13672,28258,19903,27473,16520,7235,20024,21718,9057,5311,20264,37129,12987,14309,16105,20241,22308,25693,33312,35001,31848,10908,33815,23298,30006,39923,9817,10802,6482,2,15550,39923
2020-01-11,1,14220,16320,10670,21755,13148,8770,18808,13573,17604,11831,4607,19520,15520,5964,3701,21102,45338,13166,12609,10904,15117,13026,24680,29364,29725,21200,10123,17879,17440,21677,30019,6996,9340,4884,1,11374,30019
2020-01-12,1,10046,12200,7799,16006,9659,7556,13114,10204,12899,9448,3724,15107,10636,4013,2573,15942,30577,9369,7386,7218,9042,9630,16836,21291,21918,15615,6789,12737,13043,15931,21472,5444,7792,3984,1,7801,21472
2020-01-13,1,21176,24211,12888,28954,19745,13376,26975,19632,26407,15665,7338,19162,18964,9017,5169,15793,25741,10369,12251,15245,19841,21568,21273,29094,32163,31239,10164,33324,22479,28734,39181,9683,10002,6459,1,15247,39181
2020-01-14,2,21807,24447,13126,29417,19833,13605,27216,19854,27546,16174,7443,19258,20475,9008,5199,18546,25866,11192,13569,16010,19720,22363,22338,30295,33402,32405,10337,33327,22701,29055,39309,9582,10366,6582,1,14999,39309
2020-01-15,1,21906,24584,13226,30000,19941,13860,27306,19506,27384,16466,7148,19084,21690,8933,5214,18542,27236,11290,13864,15180,20959,22402,22903,30681,33723,32472,10285,33402,22782,29451,39649,9716,10808,6617,1,15381,39649
2020-01-16,1,21756,24353,13545,29473,19788,15766,27167,19832,26814,16278,7421,19327,20539,9049,5296,18785,28886,11921,14099,15237,20689,22538,23076,31177,34754,32023,10543,33301,22938,29271,39948,9641,10479,6533,2,15221,39948
2020-01-17,1,21946,24935,13747,30159,19710,13631,27747,20009,27855,16446,7272,19898,21812,9047,5314,20247,38890,12933,14491,15667,21277,22232,26492,33670,35681,32698,10870,33478,23278,29789,40613,9825,10965,6604,2,15606,40613
2020-01-18,1,14050,17476,10627,21938,13459,9077,19579,14285,18272,12223,4582,19616,15481,6143,3813,21266,46468,13250,11785,10587,14017,13439,25514,29361,31299,21160,10025,17761,17500,21848,29937,7164,9140,5151,1,11388,29937
2020-01-19,1,10177,11115,7552,15837,9931,7327,13424,9514,12411,9274,3736,13660,10715,4133,2562,15560,30029,8988,7096,7173,9393,9848,16455,21575,21695,15525,7716,12695,12842,15691,21979,5456,7138,3953,1,8021,21979
2020-01-20,1,21352,23921,12923,29407,19630,13405,27798,18771,25569,16142,7286,19472,18709,8988,5143,17538,26139,10759,11968,15194,20494,22152,21880,29540,33426,31652,10151,33039,22662,29103,39796,9692,10350,6612,2,15367,39796
2020-01-21,1,21387,24259,12880,29396,19358,13397,27474,18056,25549,15921,7115,19575,19640,8872,5176,18542,26703,11296,13487,15243,20538,22165,23104,30244,34130,31926,10606,33335,22723,28962,39415,9673,10419,6570,1,15186,39415
2020-01-22,1,21434,24153,13032,29160,19401,13359,27315,18061,24066,16214,6987,19232,21112,8664,5228,18708,27985,11517,12873,15487,20192,21797,22070,30894,34708,31218,10878,33234,22762,28944,39743,9534,10709,6513,1,15288,39743
2020-01-23,1,19958,22432,12251,27781,17474,14028,24978,17168,22042,14800,6459,17457,15152,8004,4817,17848,33314,11370,12108,13638,18330,19769,21764,29654,34292,28673,11155,30266,21670,27281,37590,8782,10353,6062,2,14234,37590
2020-01-24,1,7241,7917,4868,11929,7461,5307,10466,7023,7499,6527,2591,9870,4990,2774,1854,7583,30847,6517,4522,5095,5912,5845,10276,14121,17150,11072,7233,9612,10129,12098,16908,3844,5610,2986,2,6003,16908
2020-01-25,1,7141,7771,4616,11720,7166,5225,9792,6358,5410,6352,2467,8798,3829,2539,1838,5571,25736,5356,4746,4405,4752,5152,7292,10262,10659,10237,5832,8751,9520,11954,15685,3887,4071,2745,2,6068,15685
2020-01-26,1,8345,9138,5671,12950,7824,5893,10463,7147,6984,7011,3050,12422,7681,3020,2168,9728,31360,7321,5485,5324,6114,7053,11994,16715,15509,11441,6831,10169,11237,13530,18476,4283,6424,3474,1,6775,18476
2020-01-27,1,8634,10002,6085,13322,8082,5401,11534,7664,9678,7048,2957,10427,7920,3234,2157,8856,22044,6232,5078,5605,6842,6819,11863,16565,15908,12415,7922,11037,11285,13827,18826,4320,6571,3261,2,6753,18826
2020-01-28,1,19723,21909,11910,26844,17505,12083,24211,16116,21930,14571,6475,16659,14868,7833,4703,15044,23227,10117,11355,13976,18130,19465,19522,26824,30067,28817,14099,30502,20778,26656,37115,8745,9567,5942,2,14265,37115
2020-01-29,1,20660,23035,12417,28279,18232,13202,25353,17027,22500,15666,6782,18378,19819,8430,4912,17448,24443,10548,12625,14558,19078,20784,20326,29117,31412,30390,10122,32583,21927,28295,38381,8999,10040,6326,1,14949,38381
2020-01-30,1,20653,23196,12552,28571,18593,14299,25544,17751,23405,15621,6706,18307,18777,8289,4932,17733,24967,10885,12767,14708,19397,21147,21333,28994,32531,30288,9831,32401,21925,27781,38389,8984,9999,6450,2,15093,38389
2020-01-31,1,20219,22921,12426,28333,18542,12977,25283,17438,22208,15614,6814,18136,19588,8495,4751,18131,30672,11773,13119,16385,19534,20571,22894,30867,33115,30293,9797,32365,22182,28296,38265,9093,10176,6324,1,15051,38265
2020-02-01,1,11218,12854,8237,17980,11259,7471,15129,10395,13119,9845,3854,14331,12745,5083,2948,16220,31845,10831,8319,8826,11742,10828,19109,24095,24188,18165,7900,14853,14756,18161,25202,5794,7837,4211,1,9570,25202
2020-02-02,1,8120,9308,6151,12810,8262,5953,10993,7694,9836,7655,3167,10825,8564,3374,2093,11032,22093,7859,5859,5962,7676,8086,13256,18075,17997,13256,6085,10792,11091,13646,18687,4323,5836,3315,1,6708,18687
2020-02-03,1,19363,22710,11704,26912,17978,11937,24387,16559,21484,14583,6638,17031,17315,7668,4776,14460,22657,10210,10907,13948,18681,19884,18387,26117,29529,29226,8577,30971,20580,26644,36791,8720,8775,6034,1,14384,36791
2020-02-04,1,19555,21989,11744,27009,17580,12212,23926,16714,21843,15338,6878,16973,18615,7858,4741,16862,22447,10516,11637,14289,18748,20325,19787,27703,30882,29425,8499,31479,21105,26901,36895,8787,9345,6251,1,14442,36895
2020-02-05,1,18875,21266,11154,26264,17387,11868,23386,16181,21130,14601,6782,16102,19111,7597,4655,16147,22408,10527,11500,13711,18070,19772,19274,27425,29716,28507,8602,30663,20302,26118,35721,8546,9231,5997,2,13898,35721
2020-02-06,1,18783,20876,11130,25800,16954,11847,23352,16041,20444,14344,6478,16205,18022,7667,4495,16272,23409,10293,11719,13725,18069,19330,19868,27354,29877,28066,8525,30509,20317,25864,35177,8383,8899,5934,3,14241,35177
2020-02-07,1,19127,21509,11771,26839,17445,11880,24039,16408,21039,14776,6645,16854,20013,7945,4797,17825,30043,11248,12317,14191,18558,19876,22201,29838,31642,28758,8940,30929,20758,26777,36740,8611,9481,6066,1,14145,36740
2020-02-08,1,10638,12681,7939,17275,10887,7172,14481,10385,13309,10218,3983,13688,12132,5030,2960,16180,32747,10688,8606,8402,10341,10144,18811,23389,24105,16987,7833,14603,14636,17298,24600,6024,7321,4238,3,9054,24600
2020-02-09,1,7818,8940,5768,12888,7986,6041,10473,7550,9567,7827,3060,11037,9091,3441,2183,12486,23507,7938,5429,6052,7415,8135,13734,18155,17537,12988,5177,10394,11067,13016,17777,4275,5924,3373,1,6644,17777
2020-02-10,1,19010,21342,11575,26391,17409,11785,24372,16339,21628,14710,6563,17251,17429,7720,4823,15140,23496,10252,10770,13964,17607,19215,19129,27045,29510,28045,9267,31189,20617,26527,36502,8676,9134,5835,1,13672,36502
2020-02-11,1,19722,21916,12082,26866,17696,12151,24301,16680,22212,14938,6611,17691,18949,7982,4826,16957,24497,11203,11853,14060,17456,19097,19994,28187,31185,29179,9980,31817,21121,27091,37294,8849,9397,6195,1,13892,37294
2020-02-12,1,19198,21683,11734,26547,17388,11784,23788,16404,21189,14786,6639,16176,19748,7763,4559,16385,23195,10430,11763,13600,17328,19240,19744,27745,30130,28606,8931,30637,20581,26398,35979,8684,9601,5853,1,13713,35979
2020-02-13,1,19874,21969,12284,27506,18081,12304,24761,16827,22123,15253,6531,17566,19236,8043,4855,18944,26589,11369,12207,14177,17540,19652,21127,29316,31702,29095,10005,31503,21197,27231,37382,8947,9724,6009,1,14060,37382
2020-02-14,1,20233,22600,12583,28358,18170,12381,25057,17339,22911,15601,6573,18323,20182,8375,4927,19400,37803,13546,13035,14492,18221,20021,24807,32191,34037,29431,10842,32137,21799,27805,38773,9094,10255,6303,1,14566,38773
2020-02-15,1,12259,13713,8866,19006,11843,7604,15904,11419,14832,10589,4164,16144,13014,5419,3308,17259,40728,12236,9491,8882,10814,10331,21232,26086,26562,18266,9059,15760,15337,19097,26724,6179,8402,4565,1,9981,26724
2020-02-16,1,8841,9695,6004,13352,8366,6234,11190,8036,9731,7749,3198,9967,9665,3513,2257,11806,25659,7743,5892,6193,7662,8240,15028,18835,17715,13405,6416,10803,11456,13609,19107,4725,6604,3110,1,7016,19107
2020-02-17,1,19613,21926,11511,26790,17880,12105,24409,17134,21103,14996,6739,15823,18707,7928,4947,14495,23347,9728,11253,14132,18148,19728,19554,27254,29253,28893,8527,31774,21015,26578,37073,8981,9311,6015,1,13849,37073
2020-02-18,1,19684,21848,11746,27073,17392,11969,23776,16767,20998,14669,6491,15946,20132,8217,4865,16677,24940,10663,11956,14115,18677,19463,20534,28729,30908,29220,13317,31548,21167,26565,36823,8715,9466,6118,1,13802,36823
2020-02-19,1,19709,22265,11865,27362,17715,11940,24299,16966,20854,14846,6440,15947,20131,8062,4841,17140,26033,11259,12504,14626,18257,20027,20459,28690,31650,29210,9485,31289,21346,26999,37271,8814,9755,6007,1,13917,37271
2020-02-20,1,19409,21717,11755,26674,17707,11969,24138,16909,20974,14733,6350,15787,18809,7935,4765,18498,27131,11235,12213,14054,17896,19031,20528,28920,31559,28781,9494,30963,21353,26438,36670,8793,9598,6025,1,14060,36670
2020-02-21,1,18743,20656,11766,26568,17172,11704,23588,16657,19955,14610,6132,15123,18863,8160,4630,17957,32591,11537,12153,14003,17463,18788,21712,29235,30571,28355,9264,30559,20252,25500,35501,8482,8821,5819,1,13420,35501
2020-02-22,1,9477,10506,7043,15576,9824,6560,13393,10225,12366,9147,3293,12043,11942,4664,2650,13768,30344,9830,8001,7338,9274,8614,16804,20259,21820,15112,6285,12577,12589,15536,21678,4825,6427,3449,2,8108,21678
2020-02-23,1,6461,7293,5085,10582,7014,4960,8940,7519,9714,6571,2401,8168,8316,2840,1754,10181,20762,6721,4804,4880,5957,6206,12491,14242,14894,10584,4594,8604,8678,10237,14383,3332,4767,2760,3,5168,14383
2020-02-24,1,16795,18774,10219,23346,15609,10580,21211,14778,18686,13104,5560,13549,15081,7020,4098,12463,19092,8588,9356,12001,14999,16374,15320,22327,25174,24463,7901,27396,18126,22598,31139,7363,7522,4920,1,11576,31139
2020-02-25,1,15785,17439,9559,21816,14352,9896,19711,13677,17624,12277,5446,12390,15515,6481,3775,12136,17315,7924,9241,11034,13422,14980,14809,21213,23426,23025,6573,25992,17102,21156,29166,6906,7039,4721,1,10605,29166
2020-02-26,1,15668,17192,9616,21656,14812,10021,19709,13436,17156,12181,5385,13238,15510,6329,3740,12265,18779,8355,8914,11180,13273,15316,14792,21588,24003,22858,7339,25718,17208,21675,29488,6716,7431,4750,1,10613,29488
