date,부평구청,굴포천,삼산체육관,상동,부천시청,신중동,춘의,부천종합운동장,까치울,온수,천왕,광명사거리,철산,가산디지털단지,남구로,대림,신풍,보라매,신대방삼거리,장승배기,상도,숭실대입구,남성,내방,고속터미널,반포,논현,학동,강남구청,청담,뚝섬유원지,건대입구,어린이대공원,군자,중곡,용마산,사가정,면목,상봉,중화,먹골,태릉입구,공릉,하계,중계,노원,마들,수락산,도봉산,장암
2019-01-01,8372,9172,4975,14847,11577,10746,6714,4500,6332,7520,7342,27019,20873,22943,15664,18553,10656,7065,14401,10022,9491,10453,9947,8238,24008,5510,11032,8692,7011,11680,7780,18495,10810,12257,8998,5996,15314,14150,15905,9930,9616,7583,10993,16726,11935,18950,10193,13165,10166,1260
2019-01-02,23510,20601,10736,31843,27442,32058,20541,9717,14929,22287,19006,55551,51133,100924,38533,21416,23761,20434,36322,23417,22469,28764,24383,32491,38743,13518,47089,52743,36213,48740,14169,34234,25725,28583,21245,13304,33643,32534,35251,24389,22692,17086,25452,40222,33065,47768,25123,28275,20557,3244
2019-01-03,24023,21045,10977,32214,28094,32837,20887,9946,15484,22592,19414,57290,52828,102299,38696,21089,24177,20762,37002,24105,22699,30009,25373,33380,39315,13673,48457,55570,37175,50194,14912,35907,27525,28958,21508,13338,34780,33133,36557,24774,23416,17436,26369,41458,32597,48004,26214,28337,20746,3402
2019-01-04,24508,21729,11257,34064,29553,34510,21311,10088,15939,22799,19723,59346,55837,105138,39039,21354,25588,21446,38018,25111,23604,30909,26077,34085,43578,14274,50455,56072,37625,50720,15117,36453,27315,30025,21885,13579,35456,33905,38279,25548,23465,17554,28034,41118,32364,51755,26669,29565,21139,3373
2019-01-05,15358,15536,7960,27981,21683,23649,11411,6757,10823,13160,12597,44416,40181,35977,21615,20443,18326,13120,24860,16908,16052,24049,17613,17598,38563,10319,28741,25453,23016,27727,11790,32308,29273,20715,15274,9638,26948,24109,29451,18032,17800,13254,19339,29172,22239,38598,18360,23003,16644,2439
2019-01-06,10832,11259,5997,18025,15195,15860,8089,5042,8564,9983,9163,33307,27524,25973,18254,21120,14842,9996,18561,13012,12295,14471,12794,11475,29398,6936,15315,13451,12473,16149,9519,22619,14906,15600,11589,7160,19575,18270,21244,13829,12750,9883,15238,22269,17581,26631,12162,19051,13999,2195
2019-01-07,24134,21063,12999,32066,28052,33114,21497,9773,15300,22349,19056,57022,52386,104397,39455,21611,24645,20972,37415,24722,23097,30919,25689,34185,39935,14068,49056,55446,36074,49834,14913,33940,25662,29191,21590,13536,34623,33424,36622,25057,23621,17178,27086,40911,33173,48394,25690,28633,20889,3407
2019-01-08,24135,21248,11245,32514,28187,33326,21180,9852,15700,22453,19412,56657,53618,103920,39167,21521,24198,21020,37422,24755,24057,30648,25720,33689,38529,13919,48482,54865,37754,50733,14775,34090,26508,29448,22152,13600,34319,33656,36675,25213,23717,17487,26849,42519,33059,48914,26070,29138,21213,3428
2019-01-09,23962,20882,11764,32736,27769,32496,20811,9623,15427,22225,19171,56570,52786,102810,38754,20732,24379,21251,37223,24196,23350,34865,25493,33280,39119,14090,48460,55365,37537,49899,14491,34157,26423,29203,21885,13683,34412,32827,36819,25034,22980,17508,26385,40964,33672,47674,25460,28105,20537,3300
2019-01-10,24114,20912,10946,32901,28356,33434,21231,10024,15874,22664,19669,57325,53961,102987,38406,21059,24326,21812,37533,24593,23511,32682,26012,34148,39036,14260,48936,55953,37849,50305,15320,35323,26935,29500,21683,13345,34895,33390,37286,25414,23441,17740,26808,41429,33285,48804,26301,29040,21176,3430
2019-01-11,24605,21336,10969,34524,29502,34592,21218,9967,15934,22614,19964,59558,56700,103793,38617,21413,25215,21861,38260,25022,23921,32671,25864,34222,45124,14577,51307,55393,37894,50932,15782,36541,27550,30234,22463,13428,35975,34219,39268,26112,23999,18535,28009,42010,32989,51443,26489,29537,21126,3534
2019-01-12,16148,15603,9172,28735,22257,24028,12847,7354,11706,13468,13199,46076,41937,36486,21734,21169,19067,15165,26281,17479,16685,20589,18219,18190,40712,10501,28823,26706,24082,28169,13149,32977,25076,21739,16102,9741,28032,25269,31717,18659,19470,13279,20586,30358,22339,39302,18784,23547,16480,2576
2019-01-13,11029,10690,5770,18320,15054,16499,8998,5093,8551,10213,9516,34190,27796,26470,19090,22776,14672,9881,18419,12626,16355,15766,13055,11643,31361,6737,15911,14359,13031,16487,9622,22709,16146,16142,11913,7378,20203,18670,21622,13605,12469,10239,15415,22873,17553,26890,12021,18229,13433,2171
2019-01-14,23729,20710,10292,31314,27352,32276,21012,9681,15174,22228,18797,56277,52127,102271,39307,21445,24391,21610,37452,24043,22832,30225,25091,33507,39510,13522,47907,54020,35636,49293,14471,33699,25436,28588,21326,13175,34329,32781,35958,25020,23078,17086,26196,39607,33616,46770,25405,27982,20232,3406
2019-01-15,24106,21122,11512,32306,27904,32817,21209,9720,15332,22218,19201,56644,53019,103751,38946,21396,24241,21587,37391,24539,23235,29670,25272,33793,39722,13411,48508,54677,36732,50664,14299,34946,26336,29248,21483,13374,34692,33606,36209,25195,23329,17561,26683,41687,32919,47977,26037,28724,20600,3351
2019-01-16,23818,21064,10659,32933,27898,33426,21085,9834,15541,22153,19175,56823,53317,103089,38812,21351,24191,21493,37558,24360,23522,29323,25423,34018,38759,14000,49352,55131,37561,50888,14650,34249,26272,29248,21686,13327,34362,33368,36689,25051,23251,17204,26691,41346,34094,47726,25906,28567,20806,3297
2019-01-17,24573,21443,10975,33412,28397,33362,21409,9900,15827,22301,19339,57733,54040,104046,38478,20850,24283,21464,37959,24462,23474,29677,25961,34632,40799,13973,48982,56261,37335,50694,15173,35422,27270,29416,21394,13525,34974,33729,37538,25312,23487,17325,27157,41380,33307,48876,26561,28876,21469,3447
2019-01-18,24576,21785,11185,34611,29262,35437,21401,10169,15996,22774,19853,59086,56845,102997,38538,21929,24617,21907,38137,25047,24075,30563,26080,34377,45996,14399,51528,55767,38232,50740,15497,35728,26829,30308,21529,13397,35699,33986,38928,25803,24421,18267,28449,41953,33014,52085,26645,29122,21370,3476
2019-01-19,16396,15972,8494,29041,22397,24362,11966,6989,11429,13613,12887,45600,40936,35612,21996,20920,18768,14273,25509,18299,16434,21701,18179,17912,41109,10293,28934,27953,24249,28576,12698,32309,22857,21799,15594,10479,27352,25428,30917,18402,18441,14036,19940,29859,22000,39092,18772,23423,16359,2469
2019-01-20,11633,11811,6101,18639,15930,16843,8434,5264,8479,10266,9429,34452,28394,26476,18746,23617,14674,10486,18544,13068,12321,14566,13120,11685,30218,7151,15825,15374,12825,16080,10458,23875,20556,16436,12202,7843,20277,19078,22841,14006,13464,10312,15868,23194,18129,27447,12276,18864,14034,2089
2019-01-21,23967,21020,10362,30673,27456,32512,21120,9712,15081,22104,18917,56265,51915,103254,38991,21263,23921,21526,36982,23886,22550,29394,25160,33791,40406,13217,48661,54271,35991,49816,14660,33247,24915,28910,21085,13308,34424,33041,36411,24926,23103,16850,26618,40193,33303,47829,25600,28381,20431,3324
2019-01-22,24803,21503,10528,33041,28115,33233,21528,10167,15880,22295,19418,57262,54002,103970,39039,21099,24614,22658,37444,24370,23469,30257,25361,34384,39894,13867,49076,55366,37882,50935,15805,33378,25486,29448,21780,13449,35292,33603,36821,25381,23699,17055,27003,42138,32832,48196,26438,28715,21060,3369
2019-01-23,24399,21516,10893,32868,28170,33689,21433,10057,15627,22291,19626,57905,54449,103688,39288,21298,24742,22686,37942,24735,23386,29600,25525,34549,40484,14442,49414,55752,38631,52647,16477,34634,26107,30293,21865,13401,35160,33667,37057,25523,23584,17587,27133,41533,33974,47876,26267,28634,21181,3425
2019-01-24,24637,21420,10809,32955,28247,33598,21297,9764,15770,22565,19584,56975,54194,103944,38531,20954,24310,21812,37622,24447,23291,29152,25540,34155,41130,14323,49351,57002,37848,51599,16192,34529,25549,30047,21853,13574,35126,33764,37740,25206,23557,17707,27311,41459,33849,47810,26469,29249,21497,3495
2019-01-25,25021,21945,11126,34442,29986,35220,21167,10047,15760,22791,19807,59504,57043,105123,38919,21517,25330,22149,38799,25358,24168,29845,26336,34621,46279,14829,51013,56586,38683,52826,16419,36834,27597,31052,21894,13471,36031,34503,39070,26107,24004,18229,27957,41979,33939,51112,27348,29252,21084,3428
2019-01-26,16465,16121,9939,28644,23424,24245,11934,7127,11518,14540,14174,45485,41942,36886,22183,21340,19053,13560,26267,17705,16654,21135,18192,18764,41223,10621,29172,30138,24236,28475,13294,33128,21874,22328,15922,10102,27470,25056,31114,18547,19483,13892,19910,30310,21942,38213,19474,23003,16538,2430
2019-01-27,11162,10939,6019,18218,15773,16578,8437,5093,8575,10479,9909,34406,28215,27237,18617,22116,15162,10187,18956,13000,12640,14491,12848,11991,29536,6807,15509,14798,13138,17082,10635,22540,17389,16244,12253,7752,20337,18646,21688,14121,13366,10529,15445,23415,17109,27969,12904,19264,13903,1997
2019-01-28,23969,21167,10628,31702,27894,32969,21215,9680,15143,22267,19347,57063,52867,104271,39075,21619,24455,21829,37340,24390,23566,28708,25343,34040,39317,14390,48232,54371,36494,50545,14743,33620,24590,29572,21929,13508,35029,33590,37424,25148,23347,17278,26885,41058,34031,49104,25829,28478,20754,3415
2019-01-29,24591,21237,10811,32421,28286,33298,21254,9738,15478,22611,20109,57497,53479,103769,38613,21153,24159,22204,37558,24456,23703,28491,25603,34513,38460,14439,49241,55920,38012,51338,15948,34049,25621,30204,21778,13708,35069,33827,37582,25380,23662,17432,26823,42290,33947,48170,26457,29079,21382,3420
2019-01-30,24581,21332,11009,32414,28863,33479,21286,10170,15534,23063,20264,58704,54107,104075,38626,21095,24926,21841,38028,24798,23550,29363,25472,34465,39590,14724,49197,54873,38437,51562,15372,34606,25281,30372,22582,13891,35186,34263,38108,25585,23490,17680,27196,42327,35962,48354,26555,29137,21149,3295
2019-01-31,23957,21085,10600,31808,28474,33202,20984,9559,15191,22619,19775,58105,53592,103602,37932,21707,24505,21968,37640,24393,23197,28813,25602,34043,38101,14397,47978,54572,37709,50132,15417,34848,24993,29903,21947,13493,35135,33678,37708,25158,23541,17467,26727,41761,34074,48638,26657,28731,20796,3296
2019-02-01,23947,21488,10601,33222,29433,33272,20347,9692,15318,22240,19962,59882,56227,98708,38561,23287,24217,21498,37742,24210,23417,28151,25054,32923,42159,14775,47910,51492,36761,48941,15155,35230,24357,29543,22090,13303,35272,33884,38824,25077,23418,17357,27056,41061,33060,51069,26462,28375,20557,3143
2019-02-02,13014,13516,6568,22276,19541,19368,10135,6072,9590,11761,12193,43715,34452,30490,19886,23476,15377,10929,21797,15523,13766,15584,15056,14894,29871,8888,21026,16218,15789,21057,10007,26427,15085,17628,13158,8264,23438,22379,26833,15660,15352,10928,16855,25251,18456,34198,16411,20515,14280,2228
2019-02-03,8601,9596,5099,13710,13087,12462,6678,3777,6183,8322,8093,31424,22438,20693,16397,22461,11944,6873,14731,10262,8978,10594,10059,9152,23103,5505,10798,8730,7641,10949,6066,18424,9888,11996,9104,5691,15542,15367,17291,11106,9954,7054,11166,17961,14164,22326,10020,12894,8167,1037
2019-02-04,7516,7912,3711,11547,9548,8891,6377,3660,5426,6875,7180,29005,18271,19513,14475,19719,9392,5905,11903,8534,6950,8719,8407,7108,19323,4671,8452,6540,5339,8342,6896,13132,8282,9052,7946,5068,13708,13389,14961,9041,8360,5743,8938,14349,10815,15776,9372,11148,7954,1035
2019-02-05,8645,8177,4006,9986,8781,9189,6596,4011,5796,7291,6659,26436,18859,15950,16409,17853,10679,6110,13037,8879,7269,8924,8983,6050,27849,3038,7292,5077,4190,7160,7577,11789,8683,10105,8647,6024,15175,14824,13810,9916,8796,6319,9472,14450,12612,14884,10825,12910,8802,1479
2019-02-06,9934,9995,4882,15128,14322,13330,7398,4562,7350,8327,7819,29259,23266,24271,16067,20057,11701,7530,15477,10265,9190,11438,10754,9285,37754,6132,11677,8027,7552,11306,8808,20016,11924,13543,9783,6465,17141,15529,18329,11233,10667,8150,12382,18473,15408,25240,11370,15389,11580,1609
2019-02-07,22283,20208,10232,30928,27388,31641,19861,9246,14309,21478,18450,53817,50276,94228,36319,22013,22495,19979,35309,23024,21609,26330,24303,31276,42589,12905,43693,49961,34382,46150,14072,33179,23335,27269,21046,12545,33269,31643,34729,24224,22575,16034,26098,39517,32266,48990,25806,27658,20474,3155
2019-02-08,23394,20836,10333,32845,28777,33016,20643,9643,15029,22380,19142,56469,53636,99926,36901,21819,23862,20776,36642,23716,22842,27911,25082,32734,42281,14168,48120,52862,36661,48749,14238,35243,24389,29614,21654,13283,34683,33012,37639,25481,23691,17167,27181,40116,32501,51163,26365,27955,20634,3436
2019-02-09,15360,15308,7857,26126,23139,24034,11804,6682,10911,13182,12921,43943,39098,36408,19952,20615,17724,13329,24529,16966,15842,19586,17643,17542,38078,10207,27031,22057,21480,26384,11539,30838,20288,21336,15545,9831,26336,24272,29467,17983,17538,13120,19614,29057,21198,40689,18778,23180,17124,2266
2019-02-10,11027,10734,5535,17692,15299,15916,8843,4997,8051,9929,9441,33581,26655,26317,17494,20967,15565,9227,17762,13252,12075,14237,12678,11546,27589,6592,14642,13429,12438,15231,9133,22471,15032,15748,12183,7792,19723,18317,21017,13945,12175,10013,15056,22485,17117,27833,12042,18564,13183,1778
2019-02-11,24671,21425,10588,32238,28870,33673,21837,9824,15796,23451,19683,57162,54239,105820,38776,21718,24462,22748,37664,24673,23808,29140,25871,34248,39695,14228,48547,54494,36458,50773,14903,34276,24647,29388,22726,13596,35623,33867,37428,25535,23917,17629,27975,41688,34826,49720,26248,29589,21510,3445
2019-02-12,24502,21553,11039,33297,28828,34118,21744,9921,16043,23643,19882,57994,54910,105498,38609,21327,24610,23209,38122,24933,23987,29189,26236,34257,39694,14315,48625,55225,38371,51499,16215,34376,25081,29761,22851,13945,35752,34621,38131,26164,23881,17926,28632,43028,34319,49462,26639,29339,21557,3549
2019-02-13,24896,21796,10921,33457,30079,34256,21605,9889,16152,23973,20347,58388,54840,105171,38883,21856,25080,22501,38363,25064,23620,29823,26867,34565,41190,14918,48868,55644,38550,51897,15418,35264,25291,30106,22905,14173,35968,34746,37876,25883,23930,18115,28357,42495,35687,49896,26822,29480,21990,3396
2019-02-14,24965,22128,12197,34076,30037,34669,21693,10299,15949,24318,20381,58932,55173,104254,38462,21721,24837,22739,38635,25109,24255,30507,26370,34241,42558,14677,48703,56106,38182,51882,16163,35823,26290,30173,22478,13818,36340,36486,39048,25905,24047,18072,28482,42561,34274,49954,26838,29559,21822,3422
2019-02-15,26035,23869,12628,37856,32296,38577,23164,11523,17417,24638,20968,60618,59182,108119,39615,22572,25766,23865,39818,25728,24984,38203,26832,35262,46991,14966,51453,56611,39087,52492,15774,37970,27807,30839,22363,13736,36722,34866,39811,26586,25101,19689,28851,43421,33893,52925,27826,30648,21567,3581
2019-02-16,17000,16709,9158,30755,23868,25366,12554,7429,12002,14371,14766,47267,43717,38687,22506,21970,19861,14326,26910,18637,18086,21606,19236,18699,44728,11004,29642,31366,26466,35183,13008,43562,37244,23109,16025,10154,30228,26658,32518,19320,21062,14401,21632,32998,23255,41304,19931,24556,17619,2692
2019-02-17,11720,11687,6266,19228,16704,16960,8703,5410,8915,10818,9863,35430,29711,27947,19127,22810,15515,10401,19571,13934,13062,15534,13568,11867,32219,7680,16371,15993,14657,19200,11866,24650,20869,17061,12449,9115,21826,19673,23524,14532,13515,10900,16214,24641,18977,28662,13161,19310,14627,2144
2019-02-18,24432,21469,10894,32432,28492,33994,21469,9982,15690,22964,19790,58107,54503,105338,39769,22501,24975,21839,37765,24717,24310,31063,25775,34450,43066,14088,48925,54990,37088,51192,15508,33622,26947,29472,21970,13550,35809,34735,37364,25429,23913,17891,27978,42193,33882,48906,26496,28995,21171,3500
2019-02-19,25056,22068,11579,34318,29077,34549,22384,10183,16049,23308,19918,57056,55132,107504,39952,22334,24357,22292,37650,24702,24882,30091,25660,34751,40920,14392,48937,56522,37631,52542,16120,34363,27029,29281,21883,13404,35503,34294,37456,25613,24073,18600,28347,42962,34060,48612,26550,29089,20970,3408
2019-02-20,25032,21741,12603,34079,30930,34868,21814,10274,16279,23350,19978,58672,55545,104633,39170,21126,25356,22072,38220,24991,24642,30206,25975,34438,41189,14607,49414,56555,38366,51427,15352,35200,28367,30447,23098,13458,36493,34471,38721,26056,24170,18355,28692,42857,35510,48787,26709,29881,21673,3328
2019-02-21,25121,22078,11299,33896,29218,34802,21778,10356,16368,23897,19783,58448,55375,104396,38688,21263,25057,21900,38127,25220,25228,31972,26524,34578,42608,14567,48759,56663,38668,51436,16176,36040,27627,30378,22614,13960,36923,36040,38966,25834,23930,18159,27715,42548,33927,49639,26985,29833,21763,3522
2019-02-22,25175,21886,11574,35381,30611,35824,21752,10382,16649,23101,20354,60197,58517,105415,38863,21565,25943,22755,38993,25396,25045,30880,26791,35147,47499,15321,51257,56554,39138,51663,16149,41435,35114,31469,22485,14034,37368,35100,41256,26511,24528,18999,31463,42915,33336,53624,27796,30318,22378,3619
2019-02-23,16872,16557,9253,32842,23568,25494,12656,7736,12832,14786,14287,47916,44647,39906,23248,21596,20161,15433,27962,18735,18211,23944,18825,19746,46069,11832,30182,31207,26985,32517,16417,34947,25436,23277,18012,10911,30097,27407,33983,20460,21389,14381,22892,34693,23835,42110,20207,25572,18532,2907
2019-02-24,12039,11400,6374,20666,16537,17752,8957,5598,9351,10898,10184,36059,30272,29969,20008,22116,15713,11188,20655,13742,14915,16879,13899,12577,34074,7691,17244,17390,14988,19390,13726,24789,20859,17517,12797,8382,21967,20382,23902,15312,14109,11660,17222,25697,19260,31032,13605,22231,15857,2459
