date,암사,천호,강동구청,몽촌토성,잠실,석촌,송파,가락시장,문정,장지,복정,산성,남한산성입구,단대오거리,신흥,수진,모란
2020-01-01,16664,19468,8892,7005,25937,8193,8338,6707,8991,21605,7802,6064,11911,9823,6319,6379,4645
2020-01-02,38500,40849,23925,12521,37375,18718,20798,18166,46382,38198,21251,11402,27820,22065,10722,11491,8415
2020-01-03,40403,44519,25192,13127,40117,19886,22162,20541,48022,40554,22825,11935,28871,23236,11280,12617,9258
2020-01-04,27113,34708,14786,8777,34273,13953,14137,14464,20403,29911,14280,10011,19755,17096,9689,10135,11695
2020-01-05,19918,25199,11203,7028,25475,10278,10382,9291,12545,23869,12481,7164,14823,11787,7160,8091,5161
2020-01-06,40256,40524,25674,12681,36136,19304,21227,19258,49718,38876,22255,11677,28568,22520,10792,11876,8533
2020-01-07,39467,39601,25254,12652,36262,19273,21344,18685,48964,38649,21778,11067,27569,22041,10225,11457,8093
2020-01-08,40661,41895,25825,13112,37963,19581,22199,19745,49915,40883,22557,11795,28943,23194,11051,13256,8504
2020-01-09,41459,42405,26083,13600,39304,20475,21669,20465,50117,40098,23136,12016,29461,23964,11449,12898,12384
2020-01-10,41588,45364,26435,13411,40287,20675,21994,21695,49899,41497,23518,12187,29861,23985,11585,13031,9501
2020-01-11,28339,36537,15315,9430,35915,14904,15545,15092,21715,30705,15512,9980,20498,17215,10128,11285,8068
2020-01-12,20590,25544,11368,6880,26980,10782,10992,9242,12875,24436,12809,7389,15625,12494,7417,9179,5448
2020-01-13,40571,41618,25739,12778,37064,19844,21282,20053,49623,39255,22105,11413,28804,22828,11060,12083,8879
2020-01-14,41008,41993,26193,13129,36805,19826,21471,20726,50011,39780,22512,11575,29559,23881,11141,12144,12452
2020-01-15,41379,42304,26066,13233,37420,20399,21624,21229,50258,40990,22720,11626,29328,23243,11211,13147,8852
2020-01-16,41455,42571,26023,13484,38209,20094,21556,21735,50210,39805,22316,11755,29378,23066,11268,12031,8967
2020-01-17,41889,44972,26657,13416,39667,20522,22433,22817,50344,41493,23537,11901,29563,23754,11523,12464,9220
2020-01-18,28395,35609,15708,9206,34942,15217,14892,16127,20687,30536,14752,10081,20857,17423,9916,10461,7870
2020-01-19,20578,26075,11687,6807,26503,10830,10773,10132,12614,25104,13019,7492,15340,12955,7871,8979,10287
2020-01-20,41026,41941,25953,12945,37478,19877,21314,21885,49953,40016,21910,11512,29157,23146,11062,12106,8671
2020-01-21,40975,42519,26020,13187,37128,19842,21475,21868,49975,40000,22593,11909,28712,23630,10887,12049,8636
2020-01-22,41394,42553,25760,12908,37223,19763,21318,22887,50534,40459,22343,11755,28541,23319,11107,12898,8785
2020-01-23,38935,41671,23598,11545,37439,18486,19686,21348,41238,37232,19903,10720,27064,22070,11018,11643,8570
2020-01-24,15681,18188,7687,4312,18313,7006,7322,8323,7712,15845,7206,5480,11154,10177,5821,5475,6332
2020-01-25,12635,13200,6258,3422,15167,5488,5830,4087,5398,9786,5713,4621,9874,8369,4683,4253,3610
2020-01-26,16259,19431,8536,5490,23029,8048,8039,6031,8262,19386,9439,6333,12683,10676,6391,6890,4673
2020-01-27,17782,22212,9360,5470,24294,9158,8946,7691,10606,20833,8528,6415,13222,11010,7050,6332,4972
