date,개화,김포공항,공항시장,신방화,마곡나루,양천향교,가양,증미,등촌,염창,신목동,선유도,당산,국회의사당,여의도,샛강,노량진,노들,흑석,동작,구반포,신반포,고속터미널,사평,신논현,언주,선정릉,삼성중앙,봉은사,종합운동장,삼전,석촌고분,석촌,송파나루,한성백제,올림픽공원,둔촌오륜,중앙보훈병원
2019-01-01,4270,16194,3137,6641,7854,7350,17524,5642,8526,14037,2858,4944,14907,6659,9473,2933,32283,3843,8149,2952,2100,2041,21359,2298,26294,5567,4369,3081,17361,3414,5062,4255,4204,3404,2284,3555,592,4192
2019-01-02,12636,21235,6343,15437,18870,18869,43205,15855,23170,35453,8264,15794,38834,36286,49056,11951,58287,9526,19066,3820,6899,5977,30694,6351,70108,20535,18688,13264,32798,9212,9356,8080,8845,6470,3458,7560,1564,12636
2019-01-03,12633,20892,6520,15610,19791,18670,44573,16536,23554,36660,8327,16283,40801,36477,50747,13068,61238,9346,19715,3756,7090,6463,32035,6794,73740,21390,19009,13634,35076,10309,9701,8400,9207,6823,3462,8115,1392,13170
2019-01-04,13073,21870,6696,16243,20630,19485,45531,16840,23995,37643,8600,16576,42546,38294,53454,12407,65668,9512,20799,4249,7149,6839,36794,7053,81776,21924,19891,13940,36067,9859,10078,9107,9770,7011,3672,9024,1472,13093
2019-01-05,7504,20144,4957,10846,14963,12847,30538,9243,14755,24334,4802,7357,27277,11214,18211,5817,55899,6542,14401,3503,5604,4215,37407,4417,60921,12599,10917,6381,27008,7661,7816,6695,7576,6168,2942,23645,1184,7443
2019-01-06,5332,17648,4077,8198,9863,9351,23942,6796,10756,18059,3690,5433,19836,10512,12747,4231,40231,5623,10574,2278,3409,3960,28371,3052,35219,7108,6677,3973,19569,5768,5873,5128,5403,4465,2417,16623,1226,5283
2019-01-07,13051,20638,6439,16061,19384,18748,44881,16328,23704,36649,8655,16297,40274,37139,51419,13034,64454,9544,19983,3692,7486,6687,31023,6650,71804,20988,19485,13797,34102,9380,9820,8398,9356,6518,3532,8212,1437,14040
2019-01-08,12871,21073,6686,15958,20143,19325,45488,16880,24319,36660,8596,16705,41698,39826,51810,12597,64920,9663,20152,3429,7042,6912,30944,6733,73354,21403,19703,13918,36519,9733,10026,8621,9466,6964,3743,8413,1573,13357
2019-01-09,12600,20906,6556,15710,20289,19708,44635,16173,22840,36597,8493,16178,41063,38885,51666,12325,63535,9484,19792,3244,7115,6588,30524,6532,72911,20897,19586,13651,35742,9469,10098,8647,9573,6889,3663,8339,1617,13253
2019-01-10,12834,21527,6654,15898,20561,19424,45204,16399,23439,37192,8785,16079,41282,37906,52199,12510,65808,9526,20072,3475,8457,7029,31884,6818,74251,21383,19479,13865,36693,9632,10024,8848,9728,7012,3642,8456,1533,13623
2019-01-11,13461,22807,6869,16285,21344,19793,46040,16817,23983,38133,8944,16471,43694,39038,53500,12881,69889,9640,20746,3574,7147,6825,37637,6907,83126,22009,20594,14028,39416,9932,10338,9029,10222,7427,3799,8970,1451,13527
