date,line,station,geton,getoff,update,sum
20200101,1,종각,20427,16301,20200104,36728
20200101,1,시청,12126,10516,20200104,22642
20200101,1,서울역,36470,29895,20200104,66365
20200101,1,동묘앞,7580,7998,20200104,15578
20200101,1,청량리,13878,13997,20200104,27875
20200101,1,제기동,9791,9852,20200104,19643
20200101,1,신설동,6820,6589,20200104,13409
20200101,1,동대문,8822,9558,20200104,18380
20200101,1,종로5가,12672,11939,20200104,24611
20200101,1,종로3가,17061,15108,20200104,32169
20200102,1,서울역,59502,53548,20200105,113050
20200102,1,시청,27953,28347,20200105,56300
20200102,1,종각,48855,47433,20200105,96288
20200102,1,종로3가,35903,34261,20200105,70164
20200102,1,종로5가,28447,28619,20200105,57066
20200102,1,동대문,12057,13486,20200105,25543
20200102,1,신설동,16140,15858,20200105,31998
20200102,1,제기동,20556,21151,20200105,41707
20200102,1,청량리,24593,24717,20200105,49310
20200102,1,동묘앞,8797,9305,20200105,18102
20200103,1,서울역,66013,60775,20200106,126788
20200103,1,시청,30288,30898,20200106,61186
20200103,1,종각,53006,52135,20200106,105141
20200103,1,종로3가,39369,37568,20200106,76937
20200103,1,종로5가,30778,30873,20200106,61651
20200103,1,동대문,13288,14731,20200106,28019
20200103,1,신설동,17199,16573,20200106,33772
20200103,1,제기동,21868,22412,20200106,44280
20200103,1,청량리,26167,26603,20200106,52770
20200103,1,동묘앞,9841,10175,20200106,20016
20200104,1,서울역,48376,46823,20200107,95199
20200104,1,시청,22370,23449,20200107,45819
20200104,1,종각,35345,33183,20200107,68528
20200104,1,종로3가,34613,33921,20200107,68534
20200104,1,종로5가,26307,26355,20200107,52662
20200104,1,동대문,13392,15219,20200107,28611
20200104,1,신설동,12452,11889,20200107,24341
20200104,1,제기동,19719,20500,20200107,40219
20200104,1,청량리,24388,24906,20200107,49294
20200104,1,동묘앞,13077,13909,20200107,26986
20200105,1,서울역,38247,34335,20200108,72582
20200105,1,시청,12128,11878,20200108,24006
20200105,1,종각,20424,17508,20200108,37932
20200105,1,종로5가,12773,12485,20200108,25258
20200105,1,동대문,12340,14602,20200108,26942
20200105,1,신설동,9598,9353,20200108,18951
20200105,1,제기동,13623,14098,20200108,27721
20200105,1,청량리,18178,18398,20200108,36576
20200105,1,동묘앞,13871,14382,20200108,28253
20200105,1,종로3가,21119,19316,20200108,40435
20200106,1,서울역,58509,54106,20200109,112615
20200106,1,시청,27431,27926,20200109,55357
20200106,1,종각,49955,47854,20200109,97809
20200106,1,종로3가,35447,34264,20200109,69711
20200106,1,종로5가,28342,27852,20200109,56194
20200106,1,동대문,13409,14525,20200109,27934
20200106,1,신설동,16605,16430,20200109,33035
20200106,1,제기동,20697,20949,20200109,41646
20200106,1,청량리,23856,24206,20200109,48062
20200106,1,동묘앞,7107,7716,20200109,14823
20200107,1,서울역,56932,52709,20200110,109641
20200107,1,시청,28129,28050,20200110,56179
20200107,1,종각,49608,47621,20200110,97229
20200107,1,종로3가,32831,31628,20200110,64459
20200107,1,종로5가,28447,27705,20200110,56152
20200107,1,동대문,12450,12843,20200110,25293
20200107,1,신설동,15945,15650,20200110,31595
20200107,1,제기동,17678,17677,20200110,35355
20200107,1,청량리,21460,21728,20200110,43188
20200107,1,동묘앞,6090,6291,20200110,12381
20200108,1,서울역,58754,53792,20200111,112546
20200108,1,시청,27996,28663,20200111,56659
20200108,1,종각,49926,48608,20200111,98534
20200108,1,종로3가,37405,35497,20200111,72902
20200108,1,종로5가,29338,29116,20200111,58454
20200108,1,동대문,13898,14616,20200111,28514
20200108,1,신설동,16920,16576,20200111,33496
20200108,1,제기동,21352,21776,20200111,43128
20200108,1,청량리,24999,25517,20200111,50516
20200108,1,동묘앞,8080,8321,20200111,16401
20200109,1,서울역,60442,56118,20200112,116560
20200109,1,시청,29495,30356,20200112,59851
20200109,1,종각,52172,50502,20200112,102674
20200109,1,종로3가,38204,36550,20200112,74754
20200109,1,종로5가,30457,30412,20200112,60869
20200109,1,동대문,14278,15133,20200112,29411
20200109,1,신설동,17253,16807,20200112,34060
20200109,1,제기동,23311,23946,20200112,47257
20200109,1,청량리,26227,26293,20200112,52520
20200109,1,동묘앞,9238,9535,20200112,18773
20200110,1,시청,30140,30776,20200113,60916
20200110,1,종각,53635,53341,20200113,106976
20200110,1,종로3가,39544,38798,20200113,78342
20200110,1,종로5가,31091,31475,20200113,62566
20200110,1,동대문,14807,15757,20200113,30564
20200110,1,신설동,17908,17295,20200113,35203
20200110,1,제기동,23450,23977,20200113,47427
20200110,1,청량리,27291,27721,20200113,55012
20200110,1,동묘앞,9564,10021,20200113,19585
20200110,1,서울역,69054,62678,20200113,131732
20200111,1,서울역,54012,52192,20200114,106204
20200111,1,시청,25804,26923,20200114,52727
20200111,1,종각,41463,38990,20200114,80453
20200111,1,종로3가,38158,37276,20200114,75434
20200111,1,종로5가,28902,29001,20200114,57903
20200111,1,동대문,15147,16499,20200114,31646
20200111,1,신설동,12925,12255,20200114,25180
20200111,1,제기동,21594,22831,20200114,44425
20200111,1,청량리,26093,27141,20200114,53234
20200111,1,동묘앞,13608,14238,20200114,27846
20200112,1,서울역,38946,35440,20200115,74386
20200112,1,시청,13014,12314,20200115,25328
20200112,1,종각,21757,18592,20200115,40349
20200112,1,종로3가,22212,20294,20200115,42506
20200112,1,종로5가,14817,14417,20200115,29234
20200112,1,동대문,12999,15254,20200115,28253
20200112,1,신설동,9769,9501,20200115,19270
20200112,1,제기동,14840,15493,20200115,30333
20200112,1,청량리,19632,19825,20200115,39457
20200112,1,동묘앞,14051,14145,20200115,28196
20200113,1,서울역,59613,55643,20200116,115256
20200113,1,시청,28368,28837,20200116,57205
20200113,1,종각,49906,48307,20200116,98213
20200113,1,종로3가,36794,35017,20200116,71811
20200113,1,종로5가,29045,29040,20200116,58085
20200113,1,동대문,13851,14657,20200116,28508
20200113,1,신설동,16980,16566,20200116,33546
20200113,1,제기동,23018,23928,20200116,46946
20200113,1,청량리,25868,26216,20200116,52084
20200113,1,동묘앞,8692,9021,20200116,17713
20200114,1,동묘앞,9024,9353,20200117,18377
20200114,1,청량리,26113,26331,20200117,52444
20200114,1,제기동,23532,24464,20200117,47996
20200114,1,신설동,17122,16861,20200117,33983
20200114,1,동대문,14171,15080,20200117,29251
20200114,1,종로5가,30118,29802,20200117,59920
20200114,1,종로3가,37302,35523,20200117,72825
20200114,1,종각,50716,48868,20200117,99584
20200114,1,시청,29889,30536,20200117,60425
20200114,1,서울역,59632,55374,20200117,115006
20200115,1,시청,30341,31020,20200118,61361
20200115,1,종각,51872,49782,20200118,101654
20200115,1,종로3가,37833,35616,20200118,73449
20200115,1,종로5가,30355,30291,20200118,60646
20200115,1,동대문,14137,14908,20200118,29045
20200115,1,신설동,17636,17247,20200118,34883
20200115,1,제기동,23786,24715,20200118,48501
20200115,1,청량리,26313,26934,20200118,53247
20200115,1,동묘앞,8973,9360,20200118,18333
20200115,1,서울역,59961,55706,20200118,115667
20200116,1,동묘앞,9265,9418,20200119,18683
20200116,1,청량리,27234,27667,20200119,54901
20200116,1,제기동,24914,25742,20200119,50656
20200116,1,신설동,17365,17021,20200119,34386
20200116,1,동대문,13817,14750,20200119,28567
20200116,1,종로5가,30579,30412,20200119,60991
20200116,1,종로3가,38135,36283,20200119,74418
20200116,1,종각,51784,49954,20200119,101738
20200116,1,시청,29450,30459,20200119,59909
20200116,1,서울역,61843,56697,20200119,118540
20200117,1,서울역,69208,62321,20200120,131529
20200117,1,시청,29843,30839,20200120,60682
20200117,1,종각,54143,52979,20200120,107122
20200117,1,종로3가,40148,38933,20200120,79081
20200117,1,종로5가,31073,31155,20200120,62228
20200117,1,동대문,15115,16040,20200120,31155
20200117,1,신설동,18173,17718,20200120,35891
20200117,1,제기동,25092,26107,20200120,51199
20200117,1,청량리,28040,28611,20200120,56651
20200117,1,동묘앞,9547,10002,20200120,19549
20200118,1,시청,22674,24104,20200121,46778
20200118,1,서울역,51651,48048,20200121,99699
20200118,1,종로3가,37082,36219,20200121,73301
20200118,1,제기동,23474,25076,20200121,48550
